ID,game,speaker,coder,number,emotion,socbehav,affiliation
51161,MATH,child,MISSING,28,0.41,1.45,0.52
51128,MATH,child,SS,21.3,0.12,0.47,1.3
51131,MATH,child,CK,35.72,1.46,1.17,0.73
51125,MATH,child,SS,24.2,1.09,1.02,1.16
51135,MATH,child,MM,17.76,0.91,0.95,1.19
51111,MATH,child,CK,12.63,0.59,1.03,3.23
51108,MATH,child,SS,26.38,0.65,0.94,1.22
51112,MATH,child,CK,54.29,0.32,1.59,0.95
51092,MATH,child,CK,42.58,2.15,0.48,2.15
51151,MATH,child,CK,27.07,0.9,1.35,0.3
51145,MATH,child,SS,17.05,0.3,0.3,2.28
51132,MATH,child,CK,34.3,0.17,1.7,1.02
51121,MATH,child,MISSING,34.16,1.09,1.12,0.65
51143,MATH,child,SS,14.75,1.19,1.28,1.11
51157,MATH,child,CK,11.37,1.19,0.79,2.86
51100,MATH,child,MM,14.12,0.69,0.93,1.5
51147,MATH,child,CK,48.34,0.29,1.36,0.88
51163,MATH,child,SS,20.26,0.29,1.33,2.03
51094,MATH,child,CK,19.05,0.98,1.52,1.97
51120,MATH,child,MM,27.54,0.37,2.1,2.01
51103,MATH,child,SS,16.83,0.41,1.39,0.74
51160,MATH,child,SS,18.62,0.52,1.55,0.43
51159,MATH,child,CK,23.01,0.98,1.39,1.67
51123,MATH,child,SS,27.5,0.36,2.14,0.48
51140,MATH,child,SS,34.78,0.35,0.59,0.47
51102,MATH,child,SS,15.4,0.65,0.76,1.19
51116,MATH,child,CK,35.04,0.76,0.57,0.76
51122,MATH,child,MM,31.6,0,0.43,1.3
51136,MATH,child,CK,30.62,0.69,0.88,0.98
51101,MATH,child,MM,34.78,0.22,0.98,0.65
51095,MATH,child,CK,33.71,0.85,0.85,1.42
51115,MATH,child,CK,12.9,1.91,0.64,1.11
51107,MATH,child,SS,19.64,0.21,1.39,1.81
51097,MATH,child,MM,14.13,0.1,1.49,1.19
51133,MATH,child,CK,34.18,1.13,1.79,1.79
51144,MATH,child,SS,48.38,0.14,2.39,0.42
51129,MATH,child,SS,25.39,0.85,1.63,3.14
51119,MATH,child,MM,48.32,0,0.48,0.8
51130,MATH,child,CK,46.2,0.29,1.9,1.02
51099,MATH,child,MM,36.87,0.7,0.88,0.61
51100,MATH,parent,MM,12.08,1.7,0.91,1.17
51103,MATH,parent,SS,8.24,1.36,0.82,1.5
51119,MATH,parent,MM,19.45,1.1,0.18,1.93
51102,MATH,parent,SS,15.42,0.6,1.2,0.9
51101,MATH,parent,MM,5.74,1.36,2.45,1.33
51099,MATH,parent,MM,8.89,2.16,1.69,2.42
51107,MATH,parent,SS,13.5,1.48,1.99,2.45
51133,MATH,parent,CK,7.4,2.95,3.92,2.09
51132,MATH,parent,CK,11.33,0.52,2.23,1.72
51143,MATH,parent,SS,8.22,0.66,1.26,2.74
51131,MATH,parent,CK,14.36,0.44,0.44,1.64
51140,MATH,parent,SS,18.91,0.74,1.43,0.8
51108,MATH,parent,SS,20.74,2.96,1.45,1.98
51097,MATH,parent,MM,5.49,0.77,0.94,0.86
51130,MATH,parent,CK,10.67,1.3,2.92,4.04
51136,MATH,parent,CK,13.82,1.29,1.5,1.15
51145,MATH,parent,SS,9.23,0.91,1.36,3.48
51144,MATH,parent,SS,11.75,4.32,2.51,1
51125,MATH,parent,SS,9.83,1.67,2.16,1.78
51157,MATH,parent,CK,7.71,1.44,3.56,1.44
51151,MATH,parent,CK,14.42,1.14,1.56,0.52
51122,MATH,parent,MM,12.5,3.18,0.23,1.14
51121,MATH,parent,SS,28.9,1.22,1.25,1.75
51120,MATH,parent,MM,9.71,1.58,2.83,1.39
51123,MATH,parent,SS,14.03,0.43,3.45,1.01
51135,MATH,parent,MM,7.12,0.83,2.54,2.12
51116,MATH,parent,CK,19.92,1.58,0.92,1.17
51147,MATH,parent,CK,30.69,0.98,2.83,0.87
51092,MATH,parent,CK,20.82,0.53,2.96,2.07
51115,MATH,parent,CK,5.8,2.9,0.94,2.52
51163,MATH,parent,SS,10.4,1.97,1.58,2.87
51112,MATH,parent,CK,29.45,6.46,0.94,1.1
51129,MATH,parent,SS,8.78,0.38,3.02,2.42
51094,MATH,parent,CK,6.52,1.02,3.56,4.43
51161,MATH,parent,SS,7.59,0.18,2.26,2.26
51159,MATH,parent,CK,12.6,4.61,3.69,0.61
51128,MATH,parent,SS,16.62,1.08,1.49,1.89
51160,MATH,parent,SS,13.82,0.27,1.69,1.58
51111,MATH,parent,CK,7.02,1.64,1.22,2.25
51095,MATH,parent,CK,25.9,3.43,0.76,2.48
51004,EMOTIONS,child,SS,15.17,3.45,3.45,0.69
51005,EMOTIONS,child,SS,23.88,4.48,2.99,1.49
51008,EMOTIONS,child,SS,26.09,0.87,2.61,2.61
51009,EMOTIONS,child,SS,9.38,1.56,3.44,2.19
51013,EMOTIONS,child,CK,10.32,8.73,1.59,0.79
51014,EMOTIONS,child,MM,10,4,2.67,4
51016,EMOTIONS,child,MM,12.73,6.1,2.65,3.45
51017,EMOTIONS,child,SS,10.7,4.94,2.88,2.47
51021,EMOTIONS,child,SS,18.18,1.52,1.52,0.76
51022,EMOTIONS,child,CK,0.81,3.24,1.08,1.62
51023,EMOTIONS,child,CK,12.17,3.95,1.32,3.62
