Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51004_EMOTIONS_child_SS.docx,1,145,1.67,1,88.81,52.16,48.33,8.97,96.55,92.41,66.9,24.83,17.24,13.79,0.69,1.38,0,1.38,7.59,20,0.69,15.17,4.14,10.34,4.14,6.21,4.14,21.38,5.52,15.86,2.07,0.69,1.38,0,18.62,3.45,15.17,2.76,3.45,0.69,2.76,0.69,2.07,2.07,6.21,4.14,2.07,3.45,1.38,2.07,0.69,0,1.38,0,7.59,3.45,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0.69,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.69,0,0,0,1.38,0,0,12.41,5.52,0.69,2.76,0.69,0,0,0.69,3.45,4.14,7.59,4.83,11.03,0,6.21,4.83,0,3.45,0,0,1.38,0,2.07,0
51005_EMOTIONS_child_SS.docx,1,134,90.51,17.72,85.22,67.25,134,8.21,94.03,78.36,53.73,7.46,5.97,5.22,0,0.75,0,0,1.49,33.58,8.21,23.88,7.46,3.73,1.49,1.49,0.75,15.67,5.97,24.63,2.24,1.49,0.75,0,9.7,3.73,5.97,2.99,0,0,2.24,0,2.24,0,5.97,4.48,1.49,4.48,2.99,1.49,0,0,1.49,0,5.97,2.99,0,0,0,0,0.75,2.99,1.49,0,0,0.75,0,0,0,0,5.97,0.75,1.49,3.73,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0.75,0,0,0,0.75,0,0,8.21,12.69,0,5.97,5.22,0,0,1.49,2.24,2.99,1.49,5.97,8.96,0,7.46,1.49,0,0.75,0,0,0,0,0.75,0
51008_EMOTIONS_child_SS.docx,1,115,67.87,4.56,14.02,46.5,115,3.48,97.39,86.09,63.48,13.91,9.57,9.57,0,0,0,0,4.35,32.17,5.22,26.09,11.3,6.96,2.61,0.87,2.61,21.74,6.09,26.96,5.22,2.61,2.61,0,8.7,1.74,6.96,1.74,0,4.35,0,0,0,0.87,3.48,2.61,0.87,0.87,0,0.87,0,0,0.87,0,5.22,2.61,0,0,0,0,0.87,2.61,1.74,0.87,1.74,0,0,0,0,0,2.61,0,0.87,1.74,0,0,1.74,0,0,0,0,0,0,1.74,0,0,3.48,2.61,0,0,0,1.74,0.87,0,5.22,4.35,0,1.74,1.74,0,0,0.87,1.74,2.61,6.96,3.48,6.09,0,4.35,1.74,0,6.09,0,0,0,0,6.09,0
51009_EMOTIONS_child_SS.docx,1,320,8.48,33.01,50.04,90.5,320,7.19,91.25,84.38,60.31,18.75,13.44,8.75,0.63,4.06,0,0,5.31,20,3.75,9.38,6.88,11.25,5.94,5.94,3.44,26.25,5.31,11.25,4.38,2.19,2.19,0,10.94,5,5.94,0.63,1.88,2.19,0,0.31,0.94,0,8.13,6.56,1.56,1.56,0.94,0.63,0,0.31,0.31,0,10.63,3.44,0.94,1.25,0,0,2.81,7.19,1.88,0,1.25,0,0,0,0,0,1.88,0,0,0,1.88,0,0.31,0,0,0,0,0,0,0,0,0.94,0.31,1.25,0,0,0,1.25,0,0.31,12.5,8.13,0.31,1.56,3.13,1.88,1.88,0.31,5.31,5.94,6.25,4.38,6.88,0.63,5,0.94,0.63,6.25,0,0,0,0,4.38,1.88
51013_EMOTIONS_child_CK.docx,1,126,16.58,2.75,72.58,57.46,126,6.35,91.27,77.78,56.35,18.25,15.08,12.7,0,2.38,0,0,3.17,19.84,3.17,10.32,9.52,11.11,7.14,3.97,1.59,23.02,8.73,11.9,3.17,0.79,2.38,0,11.11,2.38,8.73,0,1.59,2.38,0,0,2.38,0,11.9,7.14,4.76,8.73,3.97,4.76,2.38,0.79,1.59,0,4.76,1.59,0,0,0,0,0,3.17,0.79,0,0,0.79,0,0,0,0,3.97,0.79,0.79,2.38,0,0,0.79,0,0,0,0,0,0,0.79,0,3.17,0.79,1.59,0,0,0,2.38,0,0,8.73,5.56,0,3.97,3.17,0,0,0,1.59,1.59,6.35,6.35,4.76,0,3.97,0.79,0,7.94,0,0,0,0,7.94,0
51014_EMOTIONS_child_MM.docx,1,150,12.09,40.06,63.35,29.19,25,9.33,96.67,86.67,65.33,21.33,10,4.67,2,3.33,0,0,11.33,16.67,5.33,10,8.67,12,4,4,4.67,20,8,10,6,4,2,0.67,15.33,2,13.33,2,2,1.33,4.67,1.33,6,0,6,3.33,2.67,4,1.33,2.67,0,0,2.67,0,12.67,2.67,0,0,0,0,2,10,2.67,0,1.33,0.67,0,0,0,0,3.33,1.33,0.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,2,0,0,1.33,0,0,12.67,8.67,0.67,2,5.33,1.33,0,0,1.33,1.33,8,1.33,8,1.33,3.33,3.33,0,8,1.33,0,2,0,4.67,0
51016_EMOTIONS_child_MM.docx,1,377,44.76,78.45,51.32,17.17,53.86,11.14,95.49,80.9,53.85,14.59,9.02,3.71,0.53,4.24,0.53,0,5.57,23.34,5.31,12.73,8.22,7.69,4.51,3.45,1.59,19.36,6.63,13.53,3.71,3.45,0.27,0,10.88,3.45,7.43,1.86,2.39,1.33,0,0,1.59,0,7.69,3.71,3.98,6.1,2.65,3.45,1.06,1.33,1.06,0,11.67,2.65,0.27,0.27,0,0,1.59,9.02,1.33,1.59,0.27,1.06,0,0,0,0,3.18,0.53,1.06,1.59,0,0,0.8,0.27,0,0,0,0,0,0.53,0,0.53,0.27,1.33,0,0,0,0,0.8,0,9.81,10.61,0,4.77,6.1,0.8,0,0,2.12,2.12,7.16,2.39,11.94,0,2.39,9.55,0,8.49,0,1.86,1.59,0,5.04,0
51017_EMOTIONS_child_SS.docx,1,243,6.03,19.19,61.67,25.55,81,11.11,93.42,84.77,64.2,22.22,17.28,10.7,0,4.94,0,0.82,4.94,20.58,4.12,10.7,7.82,11.52,5.35,4.94,4.94,26.75,6.17,11.11,3.7,2.47,1.23,0,16.46,1.23,15.23,2.06,0.82,3.7,2.88,0.41,2.88,0,8.64,4.53,4.12,4.94,1.23,3.7,2.88,0.41,0,0,12.35,2.88,0,0,0,0,0.82,9.47,2.06,0,0.82,0.82,0,0,0,0,2.47,1.65,0,0.82,0,0,0.41,0,0,0,0,0,0,0,0,0,2.88,3.29,0,0,0,0.82,0,0,4.94,5.76,0,2.88,2.88,0.41,0,0.41,2.06,3.7,7,3.7,2.88,0.41,1.23,1.23,0,6.58,0,0,0.82,0,5.76,0
51021_EMOTIONS_child_SS.docx,1,132,3.71,31.58,55.91,86.79,66,1.52,95.45,88.64,62.12,16.67,12.12,7.58,0,4.55,0,0,4.55,23.48,1.52,18.18,4.55,12.88,11.36,1.52,3.79,24.24,6.06,18.18,2.27,0.76,1.52,0,13.64,3.03,10.61,3.03,0,2.27,3.79,0.76,1.52,0.76,7.58,6.06,1.52,1.52,0,1.52,0,0.76,0.76,0,9.09,1.52,0.76,0.76,0,0,0.76,6.82,0,0.76,0,1.52,0,0,0,0,0.76,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,1.52,0.76,0.76,0,0,0,1.52,0,0,13.64,6.06,0,0.76,5.3,0,0,0,3.03,1.52,11.36,4.55,13.64,0,12.12,1.52,0,9.09,0,0,0.76,0,8.33,0
51022_EMOTIONS_child_CK.docx,1,370,3.17,13.43,66.97,14.33,370,8.92,90.27,81.35,60.54,23.78,16.49,8.92,0.54,0.81,4.32,1.62,7.3,11.35,2.97,0.81,10.27,14.05,6.22,5.95,4.32,21.35,9.46,1.62,2.43,1.62,0.27,0.54,14.05,3.24,10.81,0.81,3.24,2.43,1.35,0.27,2.7,0.27,5.95,2.7,3.24,3.24,0,3.24,1.35,0.54,1.35,0,10.27,1.08,0.27,0,0,0,0.81,8.92,0.81,0,1.35,4.05,0,0,0,0,2.97,1.35,1.62,0,0,0,1.89,0,0,0,0,0,0,1.35,0,0.81,1.08,0.27,0,0,0,0.27,0,0,12.7,8.92,0,2.97,5.41,0.81,0.27,0,6.49,1.89,6.49,6.49,5.41,0.27,2.97,1.62,0.54,5.95,0,0,0,0,5.95,0
51023_EMOTIONS_child_CK.docx,1,304,7.54,8.22,93.9,6.2,304,7.24,93.75,85.53,64.8,22.04,18.42,13.82,1.97,0.99,1.64,0,3.62,22.37,2.3,12.17,8.88,8.55,5.59,8.55,1.97,22.7,5.59,13.82,4.93,3.62,1.32,0,14.8,2.3,12.5,2.63,1.97,1.97,2.63,0,2.63,0,6.25,2.3,3.95,3.95,0.66,3.29,2.3,0.66,0.33,0.33,9.54,1.32,0,0,0,0.33,0.66,8.22,2.63,0,1.64,0.99,0.33,0,0,0.33,1.64,0.66,0.66,0.33,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.99,0,0,0,0.33,0,0,7.24,8.88,0,4.28,4.28,0,0.66,1.32,2.63,0.99,5.92,5.26,5.26,0,4.93,0.33,0,2.96,0,0,0,0,2.96,0
51026_EMOTIONS_child_MM.docx,1,759,10.19,42.39,41.92,46.05,75.9,10.01,91.44,81.69,57.71,21.48,15.68,9.09,1.05,3.82,1.05,0.66,5.8,16.07,5.01,4.22,8.17,12.52,4.74,5.01,2.77,20.69,6.46,5.53,3.56,2.24,1.32,0,13.04,3.56,9.49,1.32,1.71,2.9,1.71,0.53,1.71,0.13,4.08,2.9,1.19,1.45,0.26,1.19,0.79,0.13,0.13,0,10.54,1.45,0.4,0.26,0,0,0.53,9.09,2.24,0.13,1.84,0.53,0.79,0,0,0.79,3.03,1.71,0.26,0.79,0.26,0,1.45,0.26,0.26,0,0,0,0,0.4,0,0.66,0.92,0.92,0.79,0,0.13,0.79,0,0,9.75,7.77,0.53,1.71,3.69,2.37,0,0.13,3.43,2.37,7.51,2.77,11.07,0,3.82,7.25,0,6.98,0,0,1.19,0,5.67,0.13
51032_EMOTIONS_child_MM.docx,1,142,78.09,9.49,82.36,20.23,142,11.27,94.37,80.28,50.7,12.68,11.27,9.15,0,2.11,0,0,1.41,23.24,5.63,13.38,11.97,4.93,2.82,0.7,2.82,21.83,4.93,13.38,1.41,1.41,0,0,11.97,4.93,7.04,0.7,0,4.23,0.7,0,0.7,0,8.45,4.23,4.23,2.82,0,2.82,2.11,0.7,0,0,4.93,1.41,0,0,0,0,0,3.52,1.41,0,0,1.41,0.7,0,0,0.7,8.45,2.82,2.11,2.82,0.7,0,0,0,0,0,0,0,0,0,0,0,4.23,2.11,0,0,0,0,0,0,6.34,14.79,0,7.75,4.93,1.41,0.7,0,4.23,0,3.52,0.7,8.45,0,2.11,6.34,0,3.52,0,0.7,0,0,2.82,0
51033_EMOTIONS_child_SS.docx,1,229,7.7,1,99,15.36,76.33,6.11,96.94,85.59,65.5,25.33,18.34,17.03,0,0.87,0.44,0,6.99,22.27,2.62,12.66,8.73,10.04,2.62,6.55,2.18,23.58,6.99,13.1,0.87,0.87,0,0,12.66,0,12.66,1.75,1.75,2.18,0.44,0.44,5.68,0.87,4.8,2.18,2.62,3.49,0.87,2.62,1.31,0.87,0.44,0,4.8,2.18,0.87,0,0,0,1.31,2.62,1.31,0,0.87,0.44,0.44,0,0.44,0,4.8,0.87,1.75,2.18,0,0,0.44,0,0,0,0,0,0,0.44,0,0.87,0.87,1.31,0,0,0,0,0,0,9.61,9.61,0,4.37,6.55,1.31,0,0,1.75,3.49,8.3,2.62,2.18,0,0,1.75,0.44,6.11,0,0,0.87,0,5.24,0
