Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51004_EMOTIONS_parent_SS.docx,1,508,4.77,94.68,24.79,5.57,127,9.45,94.88,85.83,62.99,21.26,15.75,5.91,0.39,9.45,0,0,5.51,18.5,2.95,9.06,6.69,11.42,7.48,5.71,2.36,24.02,10.04,9.25,3.15,1.97,1.18,0,14.57,1.97,12.6,0.59,4.13,4.53,0.39,0,0.98,0.2,9.06,3.54,5.31,6.1,0.98,4.92,2.17,0.98,1.77,0,13.58,1.77,0,0,0,0,0.2,11.81,1.57,0.39,0.2,0.98,0.2,0,0,0.2,3.54,1.97,0.59,0.79,0.2,0,0,0,0,0,0,0,0,0,0,0.39,0,2.76,0,0,0,0.39,0.39,0.2,10.83,8.86,0.2,5.12,3.54,0.2,0,0,2.76,0.2,3.54,1.57,3.74,0,3.74,0,0,1.77,0,0,0.59,0,1.18,0
51005_EMOTIONS_parent_SS.docx,1,319,7.65,15.69,89.65,54.3,319,6.9,96.24,83.39,59.87,19.44,12.54,8.46,1.57,2.51,0,0,6.9,20.69,3.13,10.66,5.33,11.6,4.7,4.39,3.76,23.2,9.09,11.91,2.82,1.88,0.94,0,12.85,2.51,10.34,3.13,1.88,1.88,3.13,0,2.19,0,8.46,5.02,2.82,5.96,3.13,1.88,1.25,0,0.63,0,7.21,1.88,0.94,0,0,0,0.31,5.33,0,0.31,0,0.94,0,0,0,0,3.13,0.94,0.63,1.25,0,0.31,0.63,0,0,0,0,0,0,0.63,0,2.19,0.94,0.63,0.31,0,0,0.31,0.31,0.63,12.23,9.72,0,4.39,6.58,0.63,0,0,2.19,2.82,6.27,3.76,8.15,0,4.7,2.82,0.63,2.19,0,0.31,0,0,1.88,0
51008_EMOTIONS_parent_SS.docx,1,246,55.8,72.75,85.64,25.48,246,8.54,93.9,79.67,55.69,15.45,9.76,4.07,0.81,4.47,0,0,5.69,18.29,6.5,6.91,12.2,9.76,4.07,2.44,1.63,27.24,7.72,7.32,3.25,2.44,0.41,0.41,7.72,1.22,6.5,0.81,2.03,1.63,1.63,0,2.44,0,8.13,3.66,3.25,4.47,0.81,2.44,0.41,0.81,1.22,0,10.57,1.63,0,0,0.41,0,1.22,8.54,0,1.63,0,1.22,0,0,0,0,3.66,2.03,0.41,0.41,0.81,0,1.22,0,0,0,0,0,0,0.41,0.81,0.81,0.81,0.81,0,0,0,0,0.41,0.41,12.6,12.6,0,6.91,7.72,0,0,0,3.66,2.03,7.72,6.1,5.28,0,4.07,1.22,0,3.25,0,0,0,0,3.25,0
51009_EMOTIONS_parent_SS.docx,1,1275,10.62,91.77,72.48,47.61,1275,8.78,94.9,82.43,60.63,20.39,14.27,4.63,1.18,8.47,0,0,6.12,15.53,5.65,4.08,8.24,12.31,7.37,4.47,2.35,25.33,10.43,5.73,3.53,1.96,1.49,0.08,9.18,0.94,8.24,1.65,0.94,2.27,1.57,0.39,2.59,0.08,6.82,4.16,2.35,3.76,1.73,1.57,0,0.63,0.94,0,13.49,2.67,0.31,0.71,0.16,0,1.02,10.82,0.71,0,0,0.39,0,0,0,0,2.51,1.25,0.16,1.1,0,0,1.49,0.08,0.08,0,0,0,0,0.39,0,1.25,0.16,1.41,0.16,0,0,0.24,0.47,0.16,14.43,13.41,0.47,4.86,7.61,1.25,0,0.31,2.35,3.69,7.45,3.14,7.22,0.08,5.33,1.57,0.24,3.45,0,0,0,0,3.45,0
51013_EMOTIONS_parent_CK.docx,1,283,19.48,50.58,81.05,12.78,40.43,9.54,97.53,84.1,60.78,19.08,14.84,7.42,1.41,4.95,0.35,0.71,4.24,17.31,6.36,6.71,10.6,12.01,6.71,4.59,2.47,25.8,7.42,7.77,3.89,3.18,0.71,0,14.84,0.35,14.49,2.83,2.47,4.24,1.41,0.35,3.53,0,7.77,3.18,3.89,5.65,1.41,3.53,1.77,1.06,0.71,0,13.78,4.95,0.35,0,0.35,0.35,1.41,8.83,0.71,0.71,0.35,0.71,0,0,0,0,3.53,1.06,1.77,0.71,0,0,1.06,0,0,0,0,0,0,0.71,0,1.41,1.77,0.35,0,0,0,0.35,0,0,11.66,10.25,0,3.53,7.07,0.35,0,1.41,3.18,2.47,8.13,3.89,4.59,0.35,1.41,3.18,0,8.13,0,0,2.12,0,6.01,0
51014_EMOTIONS_parent_MM.docx,1,612,27.76,67.79,54.84,13.26,21.86,10.46,96.08,83.5,62.42,17.48,11.27,5.39,0.65,5.07,0,0,6.21,17.81,6.54,6.37,10.95,11.44,6.21,5.39,1.31,22.22,9.64,7.52,2.94,1.8,0.65,0.82,11.6,1.63,9.64,1.14,1.47,2.45,1.8,0.16,2.78,0,8.5,3.59,4.25,5.56,1.31,3.59,1.14,0,2.45,0,9.97,1.47,0.16,0.16,0,0,1.14,8.5,1.47,0.16,0,0.49,0,0,0,0,4.58,1.96,0.49,1.47,0.65,0,0.16,0,0,0,0,0,0,0.16,0,0.65,0.98,0.82,0,0,0,0,0.16,0.16,10.62,9.48,0.16,3.1,6.54,0.82,0,0,2.29,2.29,6.21,3.43,8.01,0,4.74,3.27,0,7.68,0.98,1.14,3.59,0,1.96,0
51016_EMOTIONS_parent_MM.docx,1,773,5.84,81.01,84.89,21.82,14.58,8.15,94.7,82.02,57.83,19.28,12.29,5.56,0.91,5.82,0,0,6.99,13.84,3.62,4.79,7.89,13.71,8.41,6.47,0.91,27.04,9.18,5.56,2.98,2.46,0.39,0.13,9.96,1.29,8.67,0.39,1.29,2.46,1.29,0.52,1.68,0,7.89,3.88,3.75,6.99,2.98,3.75,1.81,0.65,1.29,0,10.22,1.16,0,0,0,0,0.78,8.93,1.16,0.52,0.26,0.78,0,0,0,0,2.46,0.52,0.91,1.03,0,0,0.78,0.13,0,0,0,0,0,0,0,1.16,0.78,0.26,0,0,0,0,0,0.13,12.29,14.1,0.13,7.12,7.12,1.03,0,0.39,4.4,1.42,10.09,5.17,6.47,0,3.36,3.1,0,13.2,3.36,2.72,3.36,0,3.75,0
51017_EMOTIONS_parent_SS.docx,1,540,9.46,99,64.62,27.59,38.57,11.67,96.85,85.56,62.04,21.11,14.26,2.96,0.93,9.63,0.19,0.56,6.85,18.15,5,6.3,7.22,10.93,7.41,6.11,0.56,24.63,9.07,8.33,4.07,2.04,1.85,0,14.26,1.85,12.41,2.04,1.67,1.67,3.52,0.37,2.78,0,7.59,3.89,3.33,4.07,0.56,3.15,2.04,1.11,0,0,16.48,2.78,0,0,0,0,1.67,13.7,1.11,0,0.19,0.56,0,0,0,0,3.52,1.48,0,2.04,0,0,0.19,0.19,0.19,0,0,0,0,0,0,0.74,0,1.48,0,0,0,1.11,0.19,0,11.11,9.81,0.56,4.63,5.56,0.74,0.19,0.37,4.07,1.11,8.33,4.07,6.3,0.37,4.07,2.04,0.19,4.81,0,0.37,2.41,0,2.04,0
51021_EMOTIONS_parent_SS.docx,1,653,15.38,67.01,81.06,1.9,81.63,7.2,97.7,86.83,56.81,21.13,13.48,6.28,0.15,6.43,0,0.61,7.66,17.46,3.98,6.58,8.27,10.11,5.21,2.6,3.22,27.72,7.04,8.73,2.14,1.53,0.61,0,14.85,0.77,13.78,5.21,2.76,3.83,2.91,0.61,1.23,0,6.89,1.84,4.75,4.29,0.46,3.37,0.92,1.38,1.07,0,11.79,3.06,0.15,0,0.15,0,1.99,8.73,0.92,0.46,0.15,0.46,0.46,0,0,0.46,3.98,0.77,0.46,2.3,0.46,0,0.31,0.15,0,0,0,0,0,0,0,1.23,1.53,0.77,0,0,0,0.15,0.46,0.31,10.72,12.4,0.15,5.82,5.36,0.77,0.31,1.68,2.91,1.68,7.5,2.6,8.58,0,3.06,4.9,0.61,4.59,0,0,1.07,0,3.52,0
51022_EMOTIONS_parent_CK.docx,1,998,10.69,87.84,68.93,40.85,83.17,8.02,94.29,83.57,57.82,21.44,14.43,5.51,1.4,6.81,0.4,0.2,7.01,16.73,5.51,3.51,8.62,10.72,7.82,5.61,1.5,22.75,11.92,4.91,4.01,2.51,1.3,0.4,10.02,1,9.02,1.4,1.4,2.91,1.6,0.4,2.1,0.2,8.62,4.91,3.51,5.01,1.2,3.41,1,0.9,1.4,0,11.82,1.6,0.2,0,0,0.1,0.8,10.32,1.2,0.1,0.1,1.1,0.2,0,0,0.2,4.31,1.5,1.7,0.8,0.3,0,0.8,0.2,0,0,0,0,0,0.2,0.4,0.4,0.6,2,0,0,0,0.6,0,0,10.42,10.62,0.1,5.31,4.81,0.9,0.1,0.3,5.01,3.81,6.31,2.51,8.02,0.3,4.71,2.91,0.2,5.51,0.1,0,1,0,4.41,0
