Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51046_EMPATHY_child_MM.docx,1,236,8.41,37.62,12.81,15.49,33.71,3.81,96.61,88.56,63.14,16.53,9.32,4.66,0,2.12,2.12,0,7.2,30.51,1.69,22.03,2.54,10.17,6.36,3.81,2.12,18.22,8.9,22.03,2.12,0.85,1.27,0,11.44,3.81,7.63,1.69,1.69,0.85,1.69,0.42,1.69,0.42,6.78,2.97,3.39,3.39,0.42,2.54,0,1.27,0.42,0,8.9,2.97,0.85,0.42,0.42,0,1.27,5.93,0.42,0,1.69,0.85,0,0,0,0,0.42,0.42,0,0,0,0,1.27,0.85,0.85,0,0,0,0,0,0,0,0,0.42,0,0,0,1.27,1.69,0,12.71,5.93,0,1.27,2.54,1.27,0,0.85,2.97,3.39,5.93,0.85,13.56,0,4.66,8.9,0,4.24,0,1.69,2.54,0,0,0
51011_EMPATHY_child_CK.docx,1,189,3.06,46.31,60.44,6.51,31.5,9.52,95.24,85.19,53.97,21.69,15.34,7.41,0.53,3.17,3.17,1.06,6.35,17.46,1.06,9.52,2.65,12.7,6.88,2.12,1.59,22.75,10.58,11.11,1.06,1.06,0,0,12.7,1.06,11.64,4.23,0.53,1.59,3.17,1.59,2.12,0,6.88,2.65,4.23,6.35,2.12,4.23,0,2.65,1.06,0,12.17,3.7,0,0,0.53,0,1.59,8.47,0.53,0,1.59,2.12,0,0,0,0,1.59,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0.53,5.82,12.7,0,4.76,5.29,2.12,0,2.12,0.53,2.65,5.29,3.17,13.76,0,7.41,5.82,0.53,6.35,0,0,2.65,0,3.7,0
51062_EMPATHY_child_MM.docx,1,684,2.42,53.15,9.72,15.34,42.75,3.95,94.88,90.2,65.35,22.37,14.77,4.97,0,0.88,5.12,3.07,7.6,15.5,1.61,6.29,7.6,9.65,7.75,9.8,2.34,21.35,7.46,7.75,1.02,0.73,0.29,0,10.23,1.75,8.48,2.19,1.61,1.32,0.73,0.29,2.34,0.29,4.24,1.9,2.34,3.22,1.17,2.05,0,1.61,0.44,0,13.74,2.78,0.15,0,0.29,0,1.9,10.96,0.58,0.15,2.63,3.22,0,0,0,0,1.32,0.88,0.44,0,0,0,0.44,0,0,0,0,0,0,0.29,0,0,0.73,1.9,0.73,0.15,0,0,0.15,0,10.38,8.77,0.44,2.05,3.22,3.07,0,0.58,2.63,4.24,7.16,2.05,8.04,0.29,1.46,6.29,0,3.51,0,0.15,2.19,0,1.17,0
51023_EMPATHY_child_CK.docx,1,164,10.75,29.9,6.47,8.75,164,4.88,95.73,84.15,58.54,15.85,13.41,4.88,0,1.22,7.32,0,2.44,21.34,1.83,12.2,6.1,7.32,7.32,4.88,5.49,17.07,9.15,12.2,0,0,0,0,21.34,5.49,15.85,4.88,1.22,2.44,6.1,0,1.22,0,4.88,1.83,3.05,3.05,0,3.05,0,1.83,0.61,0,8.54,0,0,0,0,0,0,8.54,0,0,4.27,3.05,0,0,0,0,1.83,0.61,0.61,0.61,0,0,0.61,0.61,0.61,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,13.41,16.46,0,3.66,4.88,2.44,0,5.49,0,3.66,9.15,1.22,9.15,0,8.54,0,0.61,1.22,0,0,0,0,1.22,0
51035_EMPATHY_child_CK.docx,1,202,5.12,29.11,14.85,26.73,25.25,4.46,86.14,80.2,58.91,17.82,10.89,6.44,0.99,0,1.98,1.49,6.93,18.32,1.98,10.4,4.95,14.85,5.45,5.94,0.99,25.74,9.41,11.39,3.47,2.97,0.5,0,10.4,1.98,8.42,0.99,1.98,1.98,2.48,0,1.49,0,6.44,3.47,2.97,4.46,1.49,2.97,0,0.99,1.49,0,8.91,2.97,1.49,0,0,0,0.99,5.94,0.99,0,2.97,0,0,0,0,0,0.99,0.99,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,1.49,1.49,0.5,0,0,0,0,0,0,5.45,9.9,0,3.96,2.97,1.98,0,0.99,0.5,4.46,8.91,5.94,4.46,0.5,2.48,1.49,0,6.93,0,0,3.47,0,3.47,0
51083_EMPATHY_child_CK.docx,1,227,6.91,77.14,9.87,1.62,32.43,11.45,95.59,85.9,60.79,23.79,17.62,6.17,0,3.08,7.05,0.44,6.17,16.3,2.64,3.96,9.25,9.25,8.37,4.41,2.2,22.47,8.81,5.29,2.2,0.88,0.88,0.44,18.06,3.96,14.1,4.85,5.73,1.32,0.44,0.44,0.88,0,5.73,1.32,4.41,3.08,0,3.08,0,2.2,0.44,0,18.94,6.17,0.88,0.44,1.32,0,1.76,12.78,0.88,0,1.32,6.61,0,0,0,0,0.44,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0.88,0,0,0,0.44,0,0,11.01,7.93,0,2.2,4.41,1.32,0,0.88,0.88,1.32,8.37,3.52,8.81,0,6.17,2.64,0,6.17,0,0,2.64,0,3.52,0
51080_EMPATHY_child_MM.docx,1,141,20.01,28.37,42.1,2.02,35.25,7.09,97.87,90.07,67.38,17.73,7.09,3.55,0.71,1.42,0.71,0.71,10.64,39.72,3.55,30.5,3.55,8.51,2.13,3.55,2.84,14.18,6.38,30.5,1.42,0.71,0.71,0,9.93,2.84,7.09,0.71,2.13,0.71,2.84,0,2.84,0,5.67,1.42,4.26,4.26,0.71,3.55,0,0,3.55,0,7.8,2.84,0,0,0,0,2.13,4.96,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,7.09,7.8,0,4.96,3.55,0,0,0,2.84,2.13,5.67,1.42,13.48,0,2.13,11.35,0,7.09,0,0,2.13,0,4.96,0
51004_EMPATHY_child_SS.docx,1,130,14.06,67.13,41.41,93.01,21.67,5.38,97.69,88.46,58.46,23.08,17.69,9.23,0.77,4.62,3.08,0,5.38,26.15,0,21.54,3.08,3.85,4.62,1.54,0.77,13.08,3.08,22.31,3.85,2.31,1.54,0,13.08,4.62,8.46,3.85,1.54,0.77,2.31,1.54,0.77,0,8.46,6.92,1.54,4.62,3.08,1.54,0,0,1.54,0,16.15,5.38,0,0,0,0,0,10,0.77,0.77,0,3.85,0,0,0,0,1.54,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,1.54,0,0,10,5.38,0,2.31,0.77,0,0,2.31,3.85,1.54,6.15,0.77,19.23,0,13.08,6.15,0,3.85,0,0,3.85,0,0,0
51013_EMPATHY_child_CK.docx,1,284,11,42.14,46.27,40.95,47.33,7.75,89.44,76.76,57.04,19.72,15.14,6.69,0.35,1.41,6.34,0.35,4.58,15.14,2.82,6.34,8.8,11.27,6.69,4.93,1.76,24.3,4.93,7.39,2.11,0.7,0.35,1.06,19.01,2.46,16.55,8.8,0.7,2.11,3.52,0.35,2.11,0,4.93,3.17,1.76,3.17,1.41,1.76,0,0.35,1.41,0,11.97,3.17,0.35,0,0,0,1.41,9.15,0,0,3.87,2.46,0,0,0,0,0.7,0.7,0,0,0,0,2.11,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,7.75,12.32,0.35,2.82,3.87,1.06,0.35,4.58,1.76,1.06,6.69,5.28,4.23,0.35,2.82,0.7,0.7,6.34,0,0,1.76,0,4.58,0
51082_EMPATHY_child_SS.docx,1,512,10.37,30.28,40.51,12.13,102.4,9.18,90.63,80.66,54.69,21.48,13.09,5.47,0.2,1.17,5.66,0.59,8.4,14.84,3.52,5.47,7.62,12.89,3.32,3.52,3.13,25.98,4.1,6.25,2.34,1.95,0.2,0.2,18.16,2.93,15.23,6.25,1.37,0.78,5.66,0.39,3.71,0.2,3.13,0.98,1.76,2.15,0,1.76,0,0.39,0.78,0,14.26,4.88,1.56,0.2,0,0.2,1.56,9.18,0.39,0.78,3.52,2.54,0.2,0,0,0.2,1.56,0.78,0,0.78,0,0,0.39,0,0,0,0,0,0,0,0,0.39,0.39,0.59,0,0,0,0.2,0,0,8.4,10.74,0.2,2.34,3.71,2.34,0.39,2.15,1.76,2.15,10.35,3.13,9.96,0,6.84,2.73,0.39,6.84,0,0,0.78,0,6.05,0
