Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51082_FRIENDSHIP_child_SS.docx,1,371,20.93,44.85,47.6,9.76,92.75,2.96,95.69,82.21,52.29,18.87,14.02,6.74,0,6.47,0,0.81,4.85,19.14,6.74,8.09,5.39,8.36,4.04,5.12,2.96,23.45,10.51,9.43,1.35,0.81,0,0.54,13.48,4.31,9.16,1.62,0,3.23,2.96,0,3.77,0,9.16,4.04,5.12,5.66,2.7,2.96,0,0,0.27,0,12.4,4.58,1.08,0,0,0.54,2.7,7.82,0,0,0,0,0,0,0,0,1.89,1.89,0,0,0,0,1.62,0.54,0.27,0,0,0,0,0.27,0,0,0.27,3.77,0,0,0,0,0,0,19.14,5.66,0,3.77,2.43,0,0,0.54,2.7,1.89,5.93,4.31,11.59,0,10.78,0.81,0,5.66,0,0,0.81,0,4.85,0
51014_FRIENDSHIP_child_MM.docx,1,204,16.49,99,7.78,10.51,102,7.35,98.04,86.27,59.31,19.61,12.75,0.98,0.98,8.33,0,2.45,6.86,16.18,2.45,11.27,8.82,7.84,6.37,5.88,0.98,22.06,6.86,12.25,4.41,3.43,0.98,0,19.12,0.98,18.14,2.45,1.96,5.39,6.37,0.49,5.39,0,5.88,2.45,3.43,2.94,0,2.94,0.98,0,0,0,24.02,7.35,1.96,0,0,0,2.94,16.67,1.96,0,1.96,0,0,0,0,0,3.43,1.47,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0.49,0,0.49,13.24,6.37,0.98,1.47,3.43,0.98,0.49,0.49,1.96,1.47,4.41,1.96,8.33,0.49,3.92,3.92,0,2.45,0,0.49,0.49,0,1.47,0
51072_FRIENDSHIP_child_SS.docx,1,600,25.69,84.23,6.65,79.14,150,5.83,92.33,79.33,52.67,15.33,11.33,2.67,0.83,6.17,0,1.67,4,22.67,5.83,11,4.33,7.5,2.83,6.33,3.33,17.33,9.17,11.83,3.83,3,0.17,0.67,14.67,2.83,11.83,0.67,1.17,3.83,5.33,0.33,4.17,0.67,7.33,5.33,1.5,3.67,2.17,1,0,0,0.17,0,16.33,5.17,2.83,0.5,0,0,2,11.5,0.33,0.17,0.17,0,0,0,0,0,3.5,1.67,0.83,1,0,0,0.67,0,0,0,0,0,0,0.67,0,0.5,1.17,2.17,0,0,0,0,0,0,16.33,5.17,0,1.67,2.67,0.67,0,0.17,1.83,1.83,5,1.67,13.33,0.17,7,5.67,0.5,3.33,0,0,0.5,0,2.83,0
51013_FRIENDSHIP_child_CK.docx,1,182,13.15,33.82,61.86,35.85,45.5,4.95,96.15,81.87,64.29,20.88,9.89,4.4,0.55,4.4,0,0.55,10.99,25.27,6.59,9.89,8.24,10.44,6.59,4.95,3.3,21.43,3.3,10.99,1.1,1.1,0,0,15.38,1.1,14.29,1.65,0.55,2.2,5.49,0,6.59,0,4.4,2.75,1.65,3.85,2.2,1.65,0.55,0,0,0,13.19,4.95,1.1,0,0,0,1.1,8.24,0,0,0,0,1.1,0,0,1.1,1.65,1.1,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,13.19,10.44,2.2,2.75,4.95,2.2,0.55,0,1.65,3.3,4.95,2.75,4.95,0,3.3,1.65,0,7.69,0,0,1.65,0,6.04,0
51026_FRIENDSHIP_child_MM.docx,1,965,15.87,61.6,19.43,43.37,137.86,5.8,95.96,82.38,56.89,17.93,12.75,5.49,1.14,4.56,0.21,1.35,5.18,18.65,5.49,6.94,6.84,9.12,6.01,6.42,2.59,19.27,5.39,7.88,3.11,2.59,0.21,0.31,17.51,7.05,10.05,1.04,0.41,4.04,2.9,0.41,2.69,0.73,6.53,4.04,2.49,3.21,2.07,1.14,0.1,0,0.31,0,13.26,4.87,1.76,0.41,0.21,0,1.04,8.7,0.62,0.21,0.1,0.31,0,0,0,0,2.28,0.52,0.31,0.93,0.41,0.1,2.59,0.21,0.1,0,0,0,0,1.97,0,0.31,0.62,1.76,0.1,0,0,0.1,0.1,0,16.06,7.25,0.31,1.24,3.83,1.87,0.1,0.21,3.32,2.59,3.94,1.45,11.61,0.21,5.7,5.7,0,4.56,0,0.62,0.62,0,3.32,0
51048_FRIENDSHIP_child_MM.docx,1,437,19.95,63.09,43.09,59.73,437,5.49,97.48,82.84,59.27,17.62,12.59,3.66,1.83,5.95,0.23,0.92,5.03,18.54,5.95,6.18,7.32,10.07,3.2,6.64,3.43,20.59,5.95,6.18,5.49,4.81,0.69,0,19.68,2.52,17.16,1.83,1.37,5.49,3.89,0.46,7.78,0,9.84,6.18,3.66,5.26,1.83,3.43,0.69,0,0.23,0,14.65,3.66,1.37,0,0,0.23,1.6,10.98,0.46,1.14,0.46,0.23,0,0,0,0,2.52,0.69,1.14,0.69,0,0,1.14,0.23,0.23,0,0,0,0,0.46,0,1.37,0.69,0.92,0.69,0,0,0.46,0,0,13.5,9.15,0.46,2.75,5.26,0.46,0.69,0,1.6,1.37,3.66,1.83,8.92,0,2.06,6.86,0,1.6,0,1.37,0.23,0,0,0
51091_FRIENDSHIP_child_MM.docx,1,99,51.21,34.31,64.74,67.94,49.5,1.01,100,92.93,61.62,13.13,10.1,7.07,0,3.03,0,0,3.03,33.33,1.01,31.31,7.07,3.03,5.05,3.03,0,20.2,0,31.31,4.04,4.04,0,0,9.09,7.07,2.02,1.01,1.01,0,0,0,0,0,3.03,3.03,0,0,0,0,0,0,0,0,7.07,4.04,2.02,0,0,0,0,3.03,0,0,0,0,0,0,0,0,1.01,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,9.09,0,0,0,0,0,0,20.2,10.1,1.01,2.02,8.08,0,0,0,2.02,0,0,6.06,16.16,0,7.07,9.09,0,1.01,0,0,1.01,0,0,0
51043_FRIENDSHIP_child_CK.docx,1,228,26.1,77.01,25.39,97.62,57,2.63,92.54,77.19,57.02,17.11,11.84,3.51,0,6.58,1.75,0,5.26,21.93,5.7,11.4,6.58,12.28,2.19,4.39,1.32,21.49,8.33,13.16,3.07,2.63,0.44,0,11.4,0.44,10.53,1.32,0.44,3.95,2.63,0,3.95,0.44,8.33,7.46,0.88,4.39,4.39,0,0,0,0,0,13.6,5.26,3.95,0,0,0,0.44,8.77,0,0.44,0,1.75,0,0,0,0,1.75,0.44,1.32,0.44,0,0,1.75,0,0,0,0,0,0,1.32,0,0.88,0,0.88,0,0,0,0.44,0,0,15.79,10.53,0,4.39,5.26,2.19,0,0,1.75,0.88,5.7,3.07,6.14,0.44,3.95,1.75,0.44,5.7,0,0,1.32,0,4.39,0
51084_FRIENDSHIP_child_CK.docx,1,164,27.64,40.06,7.97,28.37,32.8,2.44,95.12,80.49,59.15,14.02,9.15,2.44,0,3.66,0.61,2.44,4.88,32.93,7.93,19.51,1.83,8.54,3.05,2.44,6.1,18.29,4.88,19.51,1.22,1.22,0,0,13.41,2.44,10.98,1.83,0.61,3.05,1.22,0,4.27,0,10.37,5.49,4.88,8.54,5.49,3.05,0,0,0,0,15.24,6.1,0.61,0.61,0,0,4.27,9.15,0.61,0,0,0.61,0.61,0,0,0.61,1.22,0.61,0.61,0,0,0,0.61,0,0,0,0,0,0,0.61,0,0,0,0.61,0,0,0,0,0,0,14.63,4.88,0.61,1.83,1.83,1.22,0,0,1.83,0,4.27,0,7.32,3.05,1.22,3.05,0,4.88,0,0,2.44,0,2.44,0
51052_FRIENDSHIP_child_SS.docx,1,322,3.94,23.6,5.53,53.96,80.5,6.21,90.99,81.06,58.7,22.98,13.66,7.14,0.62,3.11,0.93,1.86,9.32,16.77,2.48,8.7,4.97,13.35,5.59,1.55,3.73,23.29,4.04,9.01,3.73,3.11,0,0.62,18.01,4.04,13.66,1.86,0.93,6.52,0.93,0,3.42,0.31,5.28,3.73,1.55,2.8,1.86,0.93,0,0,0.31,0,12.73,5.28,1.55,0,0,0,2.17,7.45,0.62,0,0.62,0.62,0,0,0,0,1.24,0.93,0.31,0,0,0,0.93,0,0,0,0,0,0,0.31,0,0.31,0.62,0.31,0.62,0,0,0,0,0,10.56,5.9,2.17,0.62,0.93,1.86,0.31,0.31,2.8,4.66,4.97,1.24,9.63,0.93,6.52,2.8,0.31,4.04,0,0,0.93,0,3.11,0
51065_FRIENDSHIP_child_MM.docx,1,194,18.57,28.7,56.87,20.23,97,5.15,97.94,83.51,61.86,18.04,13.4,6.7,0,6.19,0,0.52,4.64,23.71,4.12,13.92,7.73,10.31,2.58,4.64,4.64,20.62,5.15,13.92,0.52,0.52,0,0,14.95,3.61,11.34,0,0.52,4.12,4.64,0,5.15,0,5.15,2.58,2.58,4.12,1.55,2.58,0,0,0,0,12.37,3.61,1.55,0,0,0,0,8.25,0,0,0,0,0.52,0,0,0.52,3.09,1.55,1.03,1.03,0,0,0.52,0.52,0.52,0,0,0,0,0,0,0.52,0.52,1.55,0,0,0,0,0,0,12.89,11.86,2.06,4.12,5.67,1.03,0,0,1.55,2.06,3.61,2.06,7.22,0,0,7.22,0,4.12,0,0.52,0.52,0,3.09,0
51034_FRIENDSHIP_child_SS.docx,1,437,4.54,55.06,62.73,70.58,48.56,9.61,95.19,82.84,62.7,21.51,10.98,3.89,0.69,5.03,0,1.37,10.53,20.82,4.12,9.15,5.26,9.15,6.41,7.09,4.12,18.76,5.95,9.61,2.97,1.14,0.92,0.92,20.14,2.52,17.39,2.06,2.52,3.43,6.18,0.23,5.49,0,5.03,4.12,0.92,1.83,1.14,0.69,0.23,0,0.23,0,17.39,7.09,1.37,0.46,0,0,3.43,10.3,0,0,0,0,0,0,0,0,2.29,1.14,0.23,0.92,0,0,0.23,0,0,0,0,0,0,0.23,0,0.23,0,0.46,0,0,0,0,0.23,0.46,13.27,10.53,0.92,2.75,6.18,1.37,0,0.23,2.97,4.12,4.12,0,6.86,0.23,1.83,5.03,0,5.49,0,0,1.83,0,3.66,0
51088_FRIENDSHIP_child_CK.docx,1,121,24.6,98.68,9.04,45.06,60.5,4.96,95.87,79.34,62.81,19.83,13.22,0.83,0,11.57,0,0.83,6.61,27.27,4.96,16.53,5.79,9.09,1.65,4.13,1.65,19.83,4.96,16.53,0.83,0.83,0,0,16.53,0,16.53,1.65,1.65,5.79,5.79,0,6.61,0,8.26,4.96,3.31,4.96,2.48,2.48,0,0,0,0,18.18,4.13,1.65,0,0,0,0.83,14.05,0,0,0,0,1.65,0,0,1.65,3.31,1.65,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.83,0,0,0,0,0,0,10.74,14.05,2.48,0,7.44,4.13,0,1.65,0,0.83,4.13,0.83,1.65,0,0,1.65,0,1.65,0,0,0.83,0,0.83,0
51046_FRIENDSHIP_child_MM.docx,1,239,18.36,42.52,9.45,87.3,79.67,4.18,97.91,84.1,63.18,16.74,11.72,6.69,0.84,2.09,0.84,1.26,5.02,32.22,5.02,20.92,2.51,9.62,5.02,3.35,1.26,15.06,2.51,21.76,5.44,4.6,0.84,0,11.72,2.93,8.79,2.09,1.26,2.93,2.09,0,1.67,0,5.44,5.02,0.42,0.84,0.42,0.42,0,0.42,0,0,12.97,6.28,3.35,0.42,0.42,0,2.09,7.11,0.42,0.84,1.26,0,0,0,0,0,1.67,0,0.42,1.26,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.42,0,0,0,0.84,0,0,9.21,2.93,0,1.67,0.42,0.42,0,0.42,2.09,2.09,5.44,0.42,13.39,0.42,2.51,10.46,0,2.93,0,1.26,0.84,0,0.84,0
51023_FRIENDSHIP_child_CK.docx,1,236,13.09,24.24,11.28,87.82,236,5.93,96.61,78.81,58.05,19.07,14.83,7.63,0,4.66,0.85,1.69,4.24,23.31,8.47,8.9,2.54,11.02,2.54,3.81,5.93,19.07,7.2,8.9,3.39,2.12,1.27,0,13.98,4.24,9.75,1.69,0.85,2.97,1.27,0,2.54,0,12.71,8.05,3.39,8.47,3.81,3.39,0,0,0.85,0,13.98,5.51,1.69,0.85,0,0,2.97,8.47,0.42,0.42,0.42,0.85,0,0,0,0,2.12,1.69,0,0,0.42,0,1.27,0.85,0.85,0,0,0,0,0,0,0,0,1.69,0.85,0,0,1.27,0,0.42,16.1,5.51,1.69,1.69,0.85,0.85,0,0.42,0.85,2.12,4.66,2.12,8.05,0.42,6.36,1.27,0,3.39,0,0,0,0,3.39,0
51079_FRIENDSHIP_child_MM.docx,1,164,12.54,47.29,22.87,68.23,16.4,0.61,99.39,88.41,54.88,21.95,12.2,6.1,0,3.66,0.61,1.83,9.76,19.51,3.66,10.37,3.66,9.15,4.88,1.83,1.22,24.39,4.88,11.59,1.22,0.61,0.61,0,10.98,1.22,9.76,3.05,1.22,4.88,0.61,0,1.22,0,6.71,4.88,1.83,4.27,2.44,1.83,0,0,0,0,14.63,8.54,1.83,0,0,0,4.27,6.1,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,1.83,0.61,0,0,0,0.61,0.61,0,18.9,6.1,0,1.22,4.27,0,0,0,3.66,0.61,8.54,0.61,15.24,0,1.22,14.02,0,8.54,0,0,6.1,0,2.44,0
