Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51022_FRIENDSHIP_parent_CK.docx,1,871,5.51,97.97,60.03,38.51,62.21,7.46,98.39,85.99,58.9,19.86,12.17,1.84,1.95,7.46,0,0.8,7.69,17.57,5.05,7,5.74,11.14,7.92,9.07,0.46,25.83,9.41,7.58,3.79,2.64,1.03,0.11,15.04,0.34,14.7,2.53,0.8,4.25,5.28,0.57,3.9,0,6.2,3.67,2.41,4.02,1.95,1.95,0,0,0.69,0,15.04,3.1,0.46,0.11,0,0,1.95,12.06,0.34,0.11,0,0,0.23,0,0,0.23,1.84,0.92,0.57,0.57,0,0,0.8,0,0,0,0,0,0,0.11,0.57,0.57,0.46,1.15,0,0,0,0.11,0.23,0.11,16.07,12.28,0.46,5.4,5.51,2.3,0.23,0.69,4.59,1.72,6.66,3.1,9.41,0.23,5.4,3.44,0.46,5.4,0,0,1.49,0,3.9,0
51034_FRIENDSHIP_parent_SS.docx,1,541,6.81,83.48,55.29,72.36,60.11,7.95,97.97,84.29,59.33,19.78,12.57,3.88,0.92,6.84,0,0.74,7.21,19.22,5.73,5.73,5.91,10.91,6.47,7.95,2.77,25.88,5.91,6.65,2.03,1.85,0.18,0,17.93,2.4,15.53,1.66,1.48,5.73,5.36,0,4.07,0,6.28,4.81,1.48,4.07,2.4,1.11,0.18,0,0.74,0,16.45,5.36,1.11,0.37,0,0,1.85,11.09,0.18,0,0,0.18,0,0,0,0,2.59,1.11,0.18,1.29,0,0,0.55,0,0,0,0,0,0,0.37,0,0.37,0.55,0.92,0,0,0,0,0,0,19.59,11.65,0.18,6.28,5.55,0.92,0,0.55,3.14,1.66,7.02,1.48,8.5,0.18,4.99,3.33,0.18,5.91,0,0,1.48,0,4.44,0
51073_FRIENDSHIP_parent_CK.docx,1,678,20.8,85.52,41.68,15.3,61.64,7.67,97.05,79.94,56.64,17.85,11.21,1.92,0.44,8.55,0,0.29,6.64,17.26,8.55,5.31,5.31,10.62,2.95,8.11,1.62,22.86,7.67,5.9,2.51,1.47,1.03,0,16.96,0.44,16.37,1.47,0.29,5.31,6.93,0.29,7.52,0,9.29,4.42,4.87,6.05,1.92,4.13,0.59,0,0.59,0,15.78,5.16,1.18,0,0,0,3.1,10.77,0,0.15,0,0,0.29,0,0,0.29,3.54,1.33,0.59,2.06,0,0,0.74,0,0,0,0,0,0,0.29,0.15,0.44,0.44,1.03,0,0,0,0.44,0,0,12.83,12.24,0.74,4.28,5.75,1.03,1.33,0.74,1.33,0.74,6.49,0.74,5.31,1.03,2.8,1.62,0.15,3.98,0,0,1.47,0,2.51,0
51088_FRIENDSHIP_parent_CK.docx,1,78,24.55,99,1.74,2.7,78,10.26,100,74.36,60.26,15.38,12.82,0,0,12.82,0,0,2.56,10.26,7.69,1.28,12.82,12.82,5.13,7.69,5.13,21.79,7.69,1.28,5.13,3.85,0,1.28,19.23,0,19.23,0,0,6.41,6.41,0,6.41,0,15.38,6.41,8.97,8.97,3.85,5.13,2.56,0,0,0,28.21,11.54,6.41,1.28,0,0,2.56,16.67,0,0,0,0,0,0,0,0,5.13,0,1.28,5.13,0,0,0,0,0,0,0,0,0,0,0,1.28,0,2.56,2.56,0,0,0,1.28,0,12.82,6.41,2.56,1.28,2.56,0,0,0,2.56,0,6.41,0,0,0,0,0,0,5.13,0,0,0,0,5.13,0
51011_FRIENDSHIP_parent_CK.docx,1,363,20.25,98.83,60.32,63.63,51.86,4.41,98.07,79.06,54.27,19.83,14.6,2.48,1.1,11.02,0,0,5.23,17.91,6.61,6.34,5.23,9.37,3.03,6.61,0.55,23.97,9.64,6.89,3.31,2.75,0.55,0,13.5,0.55,12.95,0.55,0,5.51,6.06,0,5.79,0,8.26,5.51,2.75,3.86,1.93,1.93,0,0,0.83,0,19.28,6.06,2.2,0,0,0,1.65,13.5,0,0.28,0,0,0.55,0,0,0.55,3.86,2.2,0.83,1.38,0,0,0.83,0,0,0,0,0,0,0,0,1.65,0.55,1.65,0,0,0,0,0,0,17.91,13.22,0.83,6.89,6.06,1.93,0,0.28,3.31,2.2,4.41,1.65,7.16,0,6.89,0.28,0,4.41,0,0,1.65,0,2.75,0
51021_FRIENDSHIP_parent_SS.docx,1,741,8.01,85.3,74.38,21.89,43.59,5.26,98.11,85.16,59.38,21.86,14.98,5.13,0.13,9.31,0,0.4,6.88,18.22,6.75,6.75,4.45,11.74,5.8,5.13,1.75,25.1,9.58,7.02,1.35,0.94,0.27,0.13,18.22,0.67,17.54,4.05,0.27,3.51,8.1,0.13,5.4,0.27,7.42,3.78,3.64,4.45,1.21,3.24,0,0,0.4,0,18.22,6.75,2.16,0.4,0,0.13,2.29,11.47,0,0,0,0,0,0,0,0,1.08,0.67,0.27,0.13,0,0,0.27,0.13,0.13,0,0,0,0,0.13,0,0.94,0.13,0.4,0.27,0,0,0,0,0,12.82,8.91,0.13,4.45,4.32,0.13,0,0.54,1.89,2.02,4.72,3.1,8.64,0,5.13,3.51,0,5.53,0,0,2.16,0,3.37,0
51065_FRIENDSHIP_parent_MM.docx,1,456,4.29,92.39,18.39,54.28,38,8.11,99.34,86.18,60.09,22.37,12.94,3.95,2.19,6.36,0,0.44,9.43,19.96,4.39,9.43,3.29,12.28,5.7,5.7,0.88,24.12,9.43,10.53,4.82,3.29,1.54,0,13.38,1.32,12.06,1.32,0.44,3.51,5.7,0,3.95,0,9.65,4.39,2.19,7.68,2.63,1.97,0,0,0.22,0,15.79,4.39,1.75,0,0,0.22,1.1,11.4,0.22,0,0,0,0,0,0,0,2.41,0.22,1.32,1.1,0,0,0.22,0.22,0.22,0,0,0,0,0,0,1.1,0.22,1.97,0,0,0,0.44,0.22,0,17.11,7.24,0.88,1.75,3.51,1.97,0,0.22,2.19,3.51,6.58,1.54,14.47,0,6.8,4.61,3.07,6.8,0,1.75,2.41,0,2.63,0
51062_FRIENDSHIP_parent_MM.docx,1,1419,4.79,96.35,17.81,51.73,56.76,5.85,98.24,84.36,62.3,20.93,13.53,2.18,2.11,7.05,1.76,0.35,7.4,15.93,5.71,5.29,4.79,12.12,7.12,7.47,1.41,25.44,6.77,6.27,4.02,3.24,0.78,0,17.83,1.2,16.63,1.9,1.97,4.72,4.93,0.42,5,0.28,8.1,5.07,3.03,5.21,2.89,2.33,0.07,0,0.78,0,17.62,4.58,1.27,0.49,0,0.28,2.18,13.04,0.42,0.07,0.7,1.41,0,0,0,0,1.83,0.56,0.63,0.56,0.07,0,1.69,0.35,0.35,0,0,0,0,0.99,0,0.28,0.49,1.34,0.07,0,0,0,0.14,0.07,15.93,9.16,0.35,3.24,4.72,1.06,0.14,0.92,2.47,2.33,6.06,1.13,4.58,0,2.96,1.62,0,3.24,0.07,0.92,1.62,0,0.63,0
51008_FRIENDSHIP_parent_SS.docx,1,322,24.23,96.07,89.91,48.63,322,6.52,97.2,80.43,58.07,17.39,12.42,2.17,0.31,8.7,0,0.93,4.97,20.19,7.14,9.32,5.59,8.39,4.04,8.39,0.31,23.91,7.14,9.32,1.55,1.24,0.31,0,9.94,0,9.94,1.24,0.31,3.11,4.04,0,4.66,0.31,6.83,4.35,2.48,3.73,1.55,2.17,0,0,0,0,16.46,5.28,1.55,0,0,0,1.86,11.49,0,0.31,0,0.31,0.31,0,0,0.31,2.17,1.55,0.31,0.31,0,0,0.62,0,0,0,0,0,0,0.31,0.31,1.55,0.31,0.31,0,0,0,0,0,0,13.98,15.53,0.62,7.76,9.32,0.93,0,0,3.11,2.48,3.11,3.42,4.04,0,3.73,0.31,0,0,0,0,0,0,0,0
51033_FRIENDSHIP_parent_SS.docx,1,519,14.62,60.69,54.13,43.15,32.44,3.66,96.53,80.92,61.08,18.3,10.4,3.08,0.39,6.55,0.39,0,7.9,18.88,7.51,8.48,5.78,11.18,4.62,6.94,2.7,26.4,3.47,9.06,1.16,0.39,0.39,0.39,15.99,0.58,15.41,2.12,0.96,5.2,5.01,0,6.17,0,5.78,3.66,2.12,5.2,3.47,1.73,0.19,0,0.58,0,13.68,5.2,0.19,0,0,0,2.89,8.48,0,0,0.19,0.19,0,0,0,0,1.16,0.58,0,0,0.58,0,0.96,0.19,0.19,0,0,0,0,0,0,0.19,0,3.08,0,0,0,0,0,0,15.22,8.09,0,4.43,4.62,0.19,0,0.39,3.85,1.93,5.39,0.96,3.28,0,1.93,1.35,0,4.62,0,0,2.89,0,1.73,0
