Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51088_MANNERS_child_CK.docx,1,151,42.06,70.77,98.68,95.74,18.88,13.91,95.36,67.55,50.99,17.88,12.58,7.28,0,5.3,0,0,5.3,19.87,3.97,13.25,6.62,9.93,1.32,0,0.66,25.17,1.99,13.91,4.64,4.64,0,0,9.93,0,9.93,1.32,0,3.97,1.32,0,0.66,0.66,7.28,6.62,0.66,0,0,0,0,0,0,0,22.52,13.91,7.95,9.27,0,0,2.65,8.61,1.32,0.66,1.32,0,0,0,0,0,4.64,2.65,1.99,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,21.19,0,9.27,12.58,0,0,0,3.31,0.66,7.95,1.32,1.32,0,0.66,0.66,0,8.61,0,0,4.64,0,3.97,0
51022_MANNERS_child_CK.docx,1,211,21.39,40.06,65.93,98.6,21.1,2.84,94.79,82.94,63.51,20.85,16.59,9.48,0,5.69,0.47,0.95,4.27,18.48,6.16,8.06,9.95,13.27,4.27,2.37,2.37,27.01,4.27,8.53,3.32,2.37,0.95,0,13.74,1.9,11.85,0.95,0.95,4.27,3.32,0.95,2.37,0,8.06,7.11,0,1.9,0.95,0,0,0,0,0,19.91,11.37,6.64,6.16,0,0,6.16,8.53,0.47,0.95,0.47,0.47,0,0,0,0,3.32,3.32,0,0,0,0,0.95,0,0,0,0,0,0,0.95,0,0,0.95,0.47,0,0,0,0.47,0,0,9.48,8.53,0.95,2.84,5.69,0.47,0,0,3.79,0.47,9,1.9,2.84,0,2.84,0,0,9,0,0,4.27,0,4.74,0
51005_MANNERS_child_SS.docx,1,69,34.72,40.06,34.62,41.62,34.5,8.7,95.65,59.42,49.28,14.49,13.04,8.7,0,4.35,0,0,1.45,23.19,1.45,20.29,2.9,11.59,0,0,0,14.49,2.9,20.29,2.9,1.45,1.45,0,18.84,2.9,15.94,0,0,2.9,4.35,0,0,0,4.35,2.9,1.45,1.45,0,1.45,0,1.45,0,0,30.43,26.09,7.25,23.19,1.45,0,0,4.35,0,0,0,0,0,0,0,0,4.35,1.45,1.45,1.45,1.45,0,1.45,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,5.8,7.25,0,2.9,5.8,0,0,0,1.45,0,4.35,4.35,5.8,0,4.35,1.45,0,2.9,0,0,1.45,0,1.45,0
51081_MANNERS_child_SS.docx,1,106,57.26,51.31,62.07,99,53,6.6,98.11,83.96,62.26,12.26,11.32,5.66,0,5.66,0,0,0.94,33.02,2.83,26.42,9.43,8.49,1.89,0,3.77,23.58,3.77,26.42,3.77,1.89,1.89,0,6.6,1.89,4.72,0.94,0.94,1.89,0,0,0.94,0,11.32,11.32,0,0,0,0,0,0,0,0,15.09,8.49,8.49,5.66,0,0,3.77,6.6,0,0.94,0,0,0,0,0,0,5.66,3.77,0.94,1.89,0,0,1.89,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,6.6,7.55,0,3.77,4.72,0,0,0,5.66,0,5.66,0,1.89,0,0,1.89,0,4.72,0,0,1.89,0,2.83,0
51021_MANNERS_child_SS.docx,1,132,14.87,86.82,2.02,86.79,26.4,1.52,95.45,87.88,69.7,19.7,13.64,5.3,0,8.33,0,0,6.06,29.55,2.27,21.21,6.06,12.12,3.03,1.52,2.27,20.45,5.3,24.24,2.27,1.52,0.76,0,11.36,3.79,7.58,0,0,6.06,0.76,0,0.76,0,4.55,4.55,0,0,0,0,0,0,0,0,17.42,8.33,4.55,4.55,0,0,3.79,9.09,0.76,0,0.76,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,1.52,0,0.76,1.52,0,1.52,0,0,0.76,0,0,5.3,5.3,1.52,0,3.79,1.52,0,0,3.03,3.03,4.55,0,6.82,0,5.3,1.52,0,4.55,0,0,3.03,0,1.52,0
51091_MANNERS_child_MM.docx,1,156,49.68,51.52,16.81,79.29,52,5.13,95.51,83.33,53.85,13.46,10.26,5.13,0,5.13,0,0,3.21,31.41,1.28,24.36,5.13,3.21,1.92,1.28,3.21,12.18,1.28,25,2.56,1.92,0.64,0,15.38,9.62,5.77,1.28,1.92,1.92,0.64,0,1.28,0,3.85,3.85,0,0.64,0.64,0,0,0,0,0,14.74,8.33,3.85,3.21,0,0,3.21,6.41,0.64,0,0,0.64,0,0,0,0,1.28,0.64,0,0,0.64,0,0.64,0,0,0,0,0,0,0,0,2.56,0,3.21,0,0,0,0,0,0,10.26,5.13,0,1.92,3.21,0,0,0,1.92,0.64,1.92,2.56,22.44,0.64,5.77,16.03,0,1.92,0,0,1.28,0,0.64,0
51084_MANNERS_child_CK.docx,1,63,42.52,67.92,10.18,88.66,15.75,1.59,95.24,84.13,63.49,19.05,17.46,9.52,0,7.94,0,0,1.59,28.57,1.59,23.81,9.52,7.94,1.59,0,1.59,22.22,1.59,25.4,3.17,1.59,1.59,0,12.7,3.17,9.52,3.17,1.59,3.17,0,0,0,0,7.94,6.35,1.59,0,0,0,0,0,0,0,22.22,14.29,4.76,11.11,0,0,6.35,7.94,0,0,0,0,0,0,0,0,3.17,3.17,0,0,0,0,1.59,0,0,0,0,0,0,1.59,0,0,0,1.59,0,0,0,0,1.59,0,7.94,0,0,0,0,0,0,0,1.59,0,3.17,0,3.17,0,3.17,0,0,6.35,0,0,4.76,0,1.59,0
51065_MANNERS_child_MM.docx,1,199,32.32,21.73,76.55,59.65,28.43,6.03,97.99,80.4,56.78,17.09,13.07,9.55,0.5,3.02,0,0,4.02,24.12,2.51,17.09,7.54,8.04,3.52,1.01,3.02,21.61,4.02,18.59,3.52,3.02,0.5,0,11.06,1.01,10.05,2.51,0.5,2.01,1.01,0,0.5,0,7.54,5.03,2.51,1.01,0.5,0.5,0,0,0,0,17.59,11.56,2.51,9.55,0,0.5,2.01,6.03,0.5,1.01,0.5,0,0.5,0,0,0.5,2.51,1.51,1.01,0,0,0,1.51,1.51,1.51,0,0,0,0,0,0,1.51,0,1.01,0,0,0,0.5,0,0,9.05,8.04,0.5,4.02,4.52,0.5,0,0.5,3.02,2.01,6.03,2.51,8.04,0,1.01,7.04,0,7.54,0.5,0,2.51,0,4.52,0
51033_MANNERS_child_SS.docx,1,232,44.05,24,59.15,53.64,33.14,3.02,94.4,78.45,55.17,15.52,12.07,8.62,0,3.45,0,0,3.45,27.16,4.31,19.4,6.03,5.17,5.17,1.72,1.29,16.38,6.9,19.4,1.29,0.43,0.86,0,6.9,0.43,6.03,0.43,1.29,2.59,0,0,0.43,0.43,3.88,3.02,0.86,0.43,0,0.43,0,0,0,0,21.98,18.1,13.36,11.64,0,0.43,2.59,3.88,0.43,0,0.43,0,0,0,0,0,1.29,0.86,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0.86,0.43,0,10.78,9.91,0,4.31,6.03,0,0,0.43,2.16,1.72,4.74,0,6.03,0.43,1.29,2.59,1.72,5.17,0,0.43,2.59,0,2.16,0
51079_MANNERS_child_MM.docx,1,233,2.51,26.12,2.97,53.48,116.5,5.15,98.28,87.12,62.23,21.89,17.6,6.87,0,3.86,5.15,1.72,4.29,20.17,3,9.44,4.29,7.3,3.86,11.16,5.58,19.74,2.15,9.87,3.43,1.72,1.72,0,22.75,6.01,16.74,0.86,0.86,4.29,9.01,0,6.87,0,5.58,3.86,1.72,0.86,0.43,0.43,0,0,0,0,23.18,10.3,2.58,5.58,0,0.43,4.72,12.88,1.29,0,6.44,0,0,0,0,0,1.72,1.29,0.43,0.43,0,0,1.29,0.86,0.86,0,0,0,0,0.43,0,0,1.72,1.29,0,0,0,1.72,0,0.43,11.16,0.86,0,0,0.86,0,0,0,1.72,3.86,3.43,1.29,11.16,0,1.29,9.87,0,2.58,0,0,0.43,0,2.15,0
