Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51009_MANNERS_parent_SS.docx,1,757,15.19,96.36,60.26,66.04,757,7.27,95.9,82.3,61.82,20.08,12.68,3.3,2.11,7.13,0,0.13,7.4,17.83,5.28,7,8.85,10.7,7.27,5.81,0.4,24.7,6.87,7.79,4.76,3.3,1.45,0.13,12.02,0.53,11.49,1.19,3.04,2.91,2.91,0.13,2.51,0,3.7,3.3,0.4,0.4,0.4,0,0,0,0,0,19.29,8.85,4.49,4.23,0,0,3.43,10.57,0.66,0.13,0.26,0,0.13,0,0,0.13,2.11,1.32,0.26,0.26,0.4,0,0.79,0.4,0.4,0,0,0,0,0.13,0,0.66,0.4,1.19,0.26,0,0,0.4,0,0,10.44,12.15,0.26,4.49,7.4,0.79,0,0,3.57,1.85,8.85,2.77,3.7,0.13,2.11,1.45,0.13,2.25,0,0,0,0,2.25,0
51004_MANNERS_parent_SS.docx,1,381,8.84,91.44,38.67,65.74,190.5,8.92,98.69,81.36,59.58,21.52,15.75,5.77,0.26,9.45,0,0.26,5.77,15.22,2.36,7.09,8.92,9.19,5.25,6.56,3.15,24.67,4.72,7.35,1.84,1.31,0.52,0,13.65,1.84,11.81,1.31,2.89,2.89,1.84,0,1.84,0,2.89,2.89,0,0.26,0.26,0,0,0,0,0,28.08,16.27,5.25,8.4,0,0,4.2,11.81,0,0.52,0,0.26,0.52,0,0,0.52,1.57,1.57,0,0,0,0,0.79,0.79,0.79,0,0,0,0,0,0,1.31,0,1.05,0,0,0,0.26,0,0,10.5,9.45,0.52,4.2,3.94,1.05,0.26,0,2.36,2.1,4.99,1.84,4.72,0.26,3.94,0.79,0,1.57,0,0,0.26,0,1.31,0
51032_MANNERS_parent_MM.docx,1,643,11.12,97.54,23.57,77.87,16.08,9.95,97.05,81.03,60.34,22.55,13.37,3.73,1.71,7.62,0,0.31,9.18,15.86,4.35,5.75,8.24,11.98,7.31,2.95,0.47,29.08,5.44,6.38,4.04,3.73,0.31,0,11.2,1.09,10.11,1.4,1.87,3.73,2.02,0,1.24,0,4.04,3.89,0.16,0.47,0.47,0,0,0,0,0,22.55,11.66,4.2,6.22,0,0,4.2,10.89,0.31,0.47,0,0,0.16,0,0,0.16,3.11,1.56,1.09,0.78,0.31,0,0.62,0.16,0.16,0,0,0,0,0.47,0,1.24,0.31,1.71,0,0,0,0,0,0,8.09,10.11,0.16,5.29,3.58,1.71,0,0,2.64,2.02,6.84,4.2,5.75,0,4.2,1.56,0,11.2,0,2.64,6.07,0,2.49,0
51013_MANNERS_parent_CK.docx,1,196,37.06,91.33,94.71,97.76,39.2,12.24,98.47,73.47,53.06,17.86,12.76,4.08,0.51,8.16,0,0,5.1,17.35,5.61,8.16,8.16,7.14,6.12,1.53,2.04,24.49,2.55,8.67,2.55,2.04,0.51,0,11.22,1.02,10.2,1.02,1.02,3.57,2.55,1.02,1.53,0,7.65,7.14,0.51,2.04,2.04,0,0,0,0,0,19.9,10.2,4.59,7.14,0,0,2.55,9.69,0,0,0,0,0,0,0,0,6.12,2.55,3.06,2.55,0.51,0,2.04,0.51,0,0,0,0,0,1.02,0.51,0,0.51,2.04,0,0.51,0,0,0,0,9.18,16.84,0,6.63,11.73,0.51,0,0,5.61,0.51,4.59,1.53,2.55,0,1.53,1.02,0,5.61,0,0,2.04,0,3.57,0
51081_MANNERS_parent_SS.docx,1,216,29.64,98.24,56.21,97.38,36,9.26,98.15,75.46,57.41,15.28,12.04,2.78,0.46,8.33,0,0.46,3.24,22.22,3.7,14.81,7.87,8.8,7.41,3.24,0.46,18.98,6.02,14.81,4.17,2.78,1.39,0,7.41,0.93,6.48,0.93,0.46,3.24,0.93,0,0,0,7.41,6.94,0.46,2.78,2.78,0,0,0,0,0,17.59,7.41,4.17,3.7,0,0,0,10.19,0,0,0,0,0,0,0,0,5.09,0.93,0.93,4.17,0,0,0.93,0,0,0,0,0,0,0.93,0,0.93,0.46,0.93,0,0,0,0.93,0,0,13.43,13.89,0,8.33,6.48,0,0,0,3.7,1.39,6.48,1.39,9.26,0,5.09,4.17,0,5.09,0,0.46,2.31,0,2.31,0
51022_MANNERS_parent_CK.docx,1,968,5.2,95.9,45.95,73.53,44,5.27,97,84.92,61.26,20.56,13.12,3.51,1.65,7.75,0.1,0.1,7.44,16.12,4.96,4.86,8.78,11.67,9.71,8.78,1.03,27.07,6.71,5.68,3.51,2.27,1.14,0.1,10.12,0.83,9.3,1.24,1.14,3.51,1.45,0.1,2.27,0.1,3.82,3.62,0.21,0.93,0.83,0.1,0,0,0.1,0,16.74,6.2,2.38,2.27,0,0,3.72,10.64,0.1,0.31,0.1,0.21,0,0,0,0,2.07,1.03,0.62,0.62,0.1,0,1.24,0,0,0,0,0,0,0.62,0.41,1.65,0.72,1.14,0,0,0,0.21,0,0,11.98,10.95,0.21,5.06,5.06,1.76,0,0,4.03,1.24,7.13,4.75,7.44,0.1,4.13,3.1,0.1,7.64,0.1,0,2.17,0,5.37,0
51057_MANNERS_parent_CK.docx,1,322,42.82,98.29,55.94,99,46,7.76,96.89,80.43,57.45,19.25,13.98,3.73,0.93,8.7,0,0.62,5.28,22.98,4.66,13.35,9.32,8.07,4.04,1.24,0.31,25.78,6.21,14.29,4.35,3.42,0.93,0,6.83,0,6.83,1.24,1.24,2.48,1.24,0,1.24,0,9.32,9.01,0,1.86,1.55,0,0,0,0,0,20.81,9.32,4.97,3.11,0,0,4.66,11.49,0.31,0,0.93,0,0,0,0,0,4.35,3.11,0.93,0.62,0,0,0.93,0,0,0,0,0,0,0.93,0,1.24,0,1.55,0,0,0,0.62,0,0,10.25,11.18,0.31,5.9,5.28,0.62,0,0,4.04,1.86,5.59,4.04,6.21,0,3.73,1.55,0.93,4.04,0,0,1.86,0,2.17,0
51072_MANNERS_parent_SS.docx,1,992,13.77,83.61,75.23,88.46,47.24,8.87,96.17,78.33,59.27,18.75,13.1,5.44,1.01,6.35,0,0.3,5.65,17.34,4.54,8.87,8.17,11.39,6.55,5.85,1.11,25.4,4.54,9.27,4.03,3.43,0.3,0.3,10.18,0.81,9.38,1.21,1.81,3.23,2.52,0.1,1.81,0.1,5.95,5.34,0.6,1.41,1.01,0.4,0.1,0,0,0,18.35,9.27,4.54,3.93,0,0,2.62,9.17,0.6,0.1,0.4,0.2,0.5,0,0,0.5,2.62,2.02,0,0.2,0.4,0,1.31,0.1,0,0,0,0,0,1.01,0,0.6,0.3,1.71,0,0,0.1,0.1,0,0,9.88,13.31,0.71,5.04,7.46,1.41,0.2,0.2,4.13,2.62,5.44,1.81,2.22,0.1,1.61,0.6,0,5.24,0,0,2.02,0,3.23,0
51082_MANNERS_parent_SS.docx,1,239,10.57,87.18,49.07,66.39,21.73,11.3,98.74,80.33,57.74,17.15,14.23,4.6,1.26,7.95,0,0.42,2.93,16.32,2.93,10.88,7.11,12.13,5.02,6.28,2.51,24.69,8.37,11.3,3.35,2.93,0.42,0,14.23,1.26,12.97,1.67,1.26,4.18,2.93,0,4.18,0,4.6,3.77,0.84,1.26,1.26,0,0,0,0,0,23.01,12.55,4.18,3.35,0,0.42,3.35,11.3,0,0,0,0,0,0,0,0,3.35,2.51,0,0.42,0.42,0,1.67,0.84,0.84,0,0,0,0,0.42,0,1.26,0,1.67,0,0,0,0,0,0,9.62,10.46,0.42,3.35,5.44,1.67,0.84,0,2.93,3.35,7.53,1.67,8.79,0,5.02,3.77,0,9.21,0,0,4.18,0,5.02,0
51079_MANNERS_parent_MM.docx,1,608,3.43,96.6,32.54,84.17,35.76,8.55,98.19,81.09,57.07,21.88,13.82,2.96,0.49,7.57,2.8,0,8.06,15.13,2.8,5.92,6.09,11.68,6.58,7.73,1.64,26.48,5.92,6.74,2.63,1.81,0.82,0,15.63,1.81,13.82,2.96,2.47,3.13,4.28,0.49,3.13,0,4.93,4.61,0.33,1.81,1.64,0.16,0,0,0.16,0,24.84,11.35,2.96,3.95,0,0,5.59,13.49,0.49,0.49,2.47,1.64,0,0,0,0,2.96,1.15,1.15,1.48,0,0,1.15,0.49,0.49,0,0,0,0,0.66,0,0.66,0.16,0.16,0,0,0,0.33,0,0,11.84,10.53,0,4.11,6.58,0.66,0.16,0.16,1.81,2.8,8.06,1.48,8.22,0.16,4.28,3.78,0,7.4,0,0,2.63,0,4.77,0
