Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51161_MATH_child_MISSING.docx,1,968,17.22,5.79,29.71,27.03,88,6.71,91.63,87.91,67.25,15.19,11.16,8.26,0.41,2.17,0,0.31,4.03,36.26,3.1,28,4.34,8.06,5.06,3.72,4.44,17.87,4.86,29.55,1.14,0.52,0.62,0,11.57,3.93,7.54,2.07,0.52,2.48,1.03,0.21,1.76,0,1.86,1.14,0.62,0.41,0.21,0.1,0,0.1,0,0,4.55,1.45,0,0,0.1,0.1,0.41,3.1,0.1,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0.72,0,0,0,0,0,0,0.41,0.1,0.21,1.24,0.72,0,0,0,0.31,0.1,0,7.85,7.23,0.1,0.62,2.58,3.82,0.1,0.1,2.38,2.27,5.89,1.24,7.13,0.31,3.51,3.31,0.21,5.17,0,0,1.03,0,4.03,0.1
51128_MATH_child_SS.docx,1,845,22.27,40.06,28.02,39.15,56.33,9.59,89.7,85.33,56.09,15.62,10.53,6.15,0.71,3.31,0.24,0.12,5.09,28.17,1.89,21.3,4.97,6.98,5.21,4.14,1.54,15.5,15.03,23.91,1.78,1.3,0.47,0,8.76,4.26,4.38,1.18,1.07,0.12,0.12,0.24,1.18,0,1.89,1.54,0.24,0.12,0.12,0,0,0,0,0.12,5.44,0.47,0.47,0.24,0,0,0.12,4.97,0.59,0,0.83,0,0,0,0,0,0.24,0.24,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0.36,0.12,0,16.92,6.98,0.12,1.3,2.6,2.72,0.12,0.24,2.84,1.78,5.56,0.24,14.08,0.83,11.48,2.6,0,5.33,0,0,1.66,0,3.67,0
51131_MATH_child_CK.docx,1,683,35.32,33.43,14.53,46.81,170.75,1.61,80.53,76.87,62.96,16.4,9.37,6.59,0.59,1.76,0,0.15,7.03,44.95,2.05,35.72,2.34,4.39,3.22,1.61,0.29,12.88,3.95,36.75,1.02,0.73,0.29,0,4.1,1.32,2.78,0.59,0.29,1.32,1.61,0,0.44,0.15,2.34,2.05,0.29,1.46,1.17,0.29,0,0,0.15,0,4.98,1.17,0.29,0.29,0,0,0.73,3.81,0.15,0,0.44,0.59,0,0,0,0,0.44,0.44,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1.17,2.2,0,0,0,0.15,0,0,6.44,6.73,0,2.64,1.76,2.34,0,0.29,1.61,1.32,3.22,1.9,2.64,0.59,1.9,0.73,0,2.78,0,0,0.44,0,2.34,0
51125_MATH_child_SS.docx,1,1376,23,42.2,24.91,56.53,44.39,3.56,85.97,81.54,60.97,14.46,9.3,4.65,0.94,3.49,0,0.22,5.16,33.07,2.83,24.2,3.56,8.36,4.43,3.42,2.03,16.93,7.05,25.94,1.45,1.16,0.29,0,9.08,2.25,6.83,1.09,0.73,2.4,1.24,0.22,2.25,0,3.05,2.69,0.36,1.09,1.09,0,0,0,0,0,5.89,1.02,0,0,0.07,0.07,0.87,4.87,0.22,0,0.22,0,0,0,0,0,0.73,0.73,0,0,0,0,0.22,0,0,0,0,0.07,0,0.07,0,0.65,0.36,1.89,0,0,0,0.15,0,0,10.76,9.67,0.15,3.56,2.62,3.56,0.07,0,2.62,2.69,4.94,1.6,7.7,0.87,3.2,3.63,0,4.51,0,0.07,2.18,0,2.25,0
51135_MATH_child_MM.docx,1,2517,9.61,15.73,35.35,36.06,26.78,4.33,91.78,86.49,62.3,19.15,12.08,8.1,1.11,2.7,0,0.12,7.07,27.57,2.66,17.76,5.16,9.65,6.36,3.85,2.58,21.57,4.45,19.39,1.83,1.19,0.64,0,12.79,4.29,8.46,1.07,1.55,2.42,0.83,1.19,2.22,0.04,1.91,1.39,0.28,0.91,0.52,0.16,0.04,0.04,0,0,5.05,0.95,0.16,0.16,0,0,0.4,4.09,0.08,0,0.16,0,0,0,0,0,0.52,0.24,0.08,0.2,0.16,0,1.35,0,0,0,0,0,0,0.24,0.04,0.16,0.68,3.34,0.08,0,0.08,0.08,0.32,0.04,12.2,6.16,0.64,1.07,2.26,2.07,0.12,0.28,3.73,2.5,6,1.03,9.73,0.08,3.62,6.12,0,8.34,0,0,3.69,0,4.65,0
51111_MATH_child_CK.docx,1,681,9.04,31.83,80.01,37.09,68.1,2.5,89.87,82.67,63.44,23.79,16.15,10.43,0.73,4.11,0,0.73,7.64,22.76,1.47,12.63,7.34,7.64,5.87,2.94,2.79,18.8,5.14,16.45,4.55,3.23,0.73,0.59,13.66,4.26,8.96,3.82,2.64,1.62,0.73,0.59,1.62,0.15,1.32,1.17,0,0.59,0.44,0,0,0,0,0,9.54,1.03,0,0,0,0,0.88,8.52,2.5,0,2.5,0.29,0,0,0,0,0.44,0.29,0,0,0.15,0,0.59,0,0,0,0,0,0,0,0.15,0.15,0.29,3.38,0,0,0,0.15,0,0,12.33,8.52,0.29,3.67,3.23,1.91,0,0.15,1.62,3.08,4.85,0.88,6.02,0,4.55,1.17,0.29,4.55,0,0,1.32,0,3.23,0
51108_MATH_child_SS.docx,1,1069,12.97,21.56,44.81,40.86,22.27,2.25,89.34,85.22,65.48,17.31,12.82,8.98,1.12,2.53,0,0.19,4.49,33.21,1.87,26.38,3.27,8.04,7.2,3.27,0.75,20.11,5.61,28.91,2.06,1.22,0.84,0,7.76,0.94,6.83,2.9,2.15,1.59,1.31,0.09,1.4,0,1.96,1.68,0.28,0.65,0.65,0,0,0,0,0,4.86,0.94,0,0,0,0,0.94,3.93,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0.09,1.03,4.4,0,0,0,0.56,0.19,0.19,8.14,4.96,0,0.94,2.43,1.59,0.28,0,2.34,1.31,5.71,2.71,6.92,0.28,2.43,4.21,0,7.11,0,0,4.4,0,2.71,0
51112_MATH_child_CK.docx,1,315,65.15,47.59,1.7,20.23,315,3.81,83.49,80.95,67.62,5.71,4.76,1.9,0.63,2.22,0,0,0.95,57.78,1.59,54.29,0,1.27,3.17,0.95,1.9,5.71,7.94,55.56,1.27,0.95,0.32,0,4.13,0.95,3.17,0.63,0.63,0,0,0.95,0.95,0,1.9,0.95,0.95,0.32,0.32,0,0,0,0,0,4.76,1.59,1.27,0.95,0,0,1.27,3.17,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0,0,2.54,7.3,0,0.32,0.32,6.35,0.32,0,2.22,0.95,0.63,0,1.9,0.63,0,0.95,0.32,0.95,0,0,0,0,0.95,0
51092_MATH_child_CK.docx,1,418,24.08,60,7.15,65.48,59.71,0.48,89,85.65,67.94,11.72,9.57,4.55,1.91,2.63,0,0,2.15,47.13,1.2,42.58,0.96,6.94,4.31,4.07,0.96,15.79,3.35,43.78,2.87,2.15,0.72,0,9.57,5.26,4.31,1.67,0.72,0.72,0.96,0,0.96,0.24,2.87,2.87,0,2.15,2.15,0,0,0,0,0,5.74,0.48,0.24,0,0,0,0.24,5.26,0.24,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,1.67,0,0,0,0.72,0,0,11.72,5.74,0,1.2,1.2,3.35,0,0,1.2,2.15,4.31,1.2,7.89,0,6.94,0.96,0,4.78,0,0,1.44,0,3.35,0
51151_MATH_child_CK.docx,1,665,24.37,13.3,24.32,57.87,110.83,7.52,82.41,79.4,61.95,13.98,9.17,7.07,0,1.65,0.3,0.15,4.81,35.79,3.31,27.07,3.16,6.62,4.81,5.26,1.5,14.29,7.37,28.72,0.6,0.3,0.3,0,9.32,2.86,6.47,1.05,2.71,0.75,1.05,0.3,1.35,0,2.86,2.56,0.15,0.9,0.6,0.15,0,0.15,0,0,3.91,1.35,0,0,0,0,1.35,2.56,0.3,0,0.3,0.3,0,0,0,0,0.3,0.3,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0.3,0,0,0,0.3,0.45,0,6.47,10.53,0.45,1.8,2.71,5.41,0.45,0.15,1.35,4.36,4.81,0.9,3.16,0.3,2.56,0.15,0.45,4.51,0,0,0.75,0,3.76,0
