Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51100_MATH_parent_MM.docx,1,1532,14.22,86.33,31.96,68.52,30.64,5.29,92.3,83.36,61.68,18.08,10.05,2.42,0.91,5.74,0.07,0.85,8.03,23.76,4.7,12.08,7.77,11.16,6.72,6.33,0.85,20.23,7.77,14.43,1.83,1.17,0.59,0.07,10.05,2.42,7.64,2.74,1.5,0.65,1.31,0.2,2.22,0.13,4.05,3.46,0.39,1.7,1.5,0,0,0,0,0,8.68,0.91,0.26,0.26,0,0.13,0.46,7.77,0,0.13,0.07,0,0,0,0,0,2.35,1.5,0,0.85,0,0,0.59,0,0,0,0,0,0,0.26,0,1.44,0.2,1.37,0,0,0,0.2,0.13,0,12.47,8.09,0.26,2.02,3.52,2.28,0.2,0.39,3.33,2.09,7.31,2.68,8.68,0,2.55,6.14,0,8.09,0,0,3.2,0,4.9,0
51103_MATH_parent_SS.docx,1,1468,4.54,84.63,79.62,50.56,28.23,5.45,88.83,83.38,57.56,18.46,12.33,4.56,1.5,5.72,0.07,0.41,6.13,18.39,2.52,8.24,5.04,11.24,11.24,4.5,1.02,23.09,10.49,11.44,1.7,1.5,0.2,0,13.56,5.65,7.9,4.77,2.04,1.43,0.61,0,1.02,0.07,3.27,2.52,0.54,1.36,1.16,0,0,0,0,0,8.65,0.82,0.14,0.14,0,0.41,0.34,7.83,0,0,0,0.14,0,0,0,0,1.43,0.48,0,0.95,0,0,0.2,0.07,0,0,0,0,0,0,0.14,0.48,0.34,1.29,0,0.07,0,0.14,0.07,0.14,15.67,13.28,0.34,4.43,6.74,2.45,0.14,0.14,2.66,1.09,10.15,1.5,10.69,2.79,9.81,0.82,0.07,7.22,0,0,3.54,0,3.68,0
51119_MATH_parent_MM.docx,1,1090,13.82,77.97,48.33,57.53,21.37,6.33,85.14,80.37,64.4,15.23,10.09,3.39,1.83,4.4,0.09,0.37,5.14,32.02,2.57,19.45,4.31,9.63,9.72,1.83,1.38,18.81,11.74,24.68,2.11,1.93,0.18,0,7.71,1.47,6.06,3.58,3.76,0.37,0.37,0,1.56,0,2.66,2.48,0.09,1.1,1.01,0,0,0,0,0,7.06,0.18,0,0,0,0,0.18,6.88,0.09,0,0.28,0,0,0,0,0,1.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,2.11,0,0,0,0.18,0,0,12.48,11.28,0.37,4.04,3.94,4.13,0.09,0.09,1.83,0.92,5.23,2.11,4.4,0,3.03,1.38,0,7.52,0,0,4.59,0,2.94,0
51102_MATH_parent_SS.docx,1,668,23.94,85.97,57.5,26.07,74.22,5.54,86.08,81.89,55.69,19.61,11.38,3.59,0.9,6.29,0.15,0.3,8.23,30.54,4.49,15.42,4.19,6.74,5.24,1.8,1.2,20.81,12.28,19.16,1.35,0.9,0.45,0,7.19,1.95,5.24,2.4,1.05,1.2,0.9,0,1.5,0,1.65,1.05,0.6,0.6,0.45,0.15,0,0.15,0,0,9.13,1.2,0,0,0,0.45,0.45,7.93,0,0,0,0.3,0,0,0,0,0.3,0,0,0.3,0,0,0.45,0,0,0,0,0,0,0,0.15,0.6,0,1.8,0,0,0,0.15,0,0.15,14.37,14.37,0.45,6.44,3.59,5.09,0,0.15,2.99,1.95,6.44,1.05,6.89,0.6,5.39,1.35,0,5.09,0,0.15,1.2,0,3.74,0
51101_MATH_parent_MM.docx,1,4200,12.38,85.57,55.48,48.94,36.21,8.5,90.33,81.4,62.48,21.4,12.81,4.02,1.31,6.5,0,0.83,8.6,20.86,5.86,5.74,8.95,11.19,8.55,3.62,1.86,23.4,8.45,8.71,2.69,1.33,1.07,0.31,9.55,1.57,7.98,2.24,1.57,1.88,1.29,0.1,2.19,0.05,3.45,2.67,0.79,1.36,1.12,0.14,0,0,0,0,11.4,2.45,0.31,0.36,0.07,0.45,1.38,8.98,0.05,0.02,0.05,0.1,0.05,0,0,0.05,1.93,1.17,0.05,0.48,0.24,0,0.9,0,0,0,0,0,0,0,0.79,0.52,0.21,2,0.05,0.05,0,0.24,0.1,0.17,9.5,10.98,0.93,3.95,5.29,1.21,0.12,0.17,3.07,2.36,8.36,2.36,6.19,0.21,3.43,2.55,0,7.55,0,0,2.74,0,4.81,0
51099_MATH_parent_MM.docx,1,3015,8.98,85.82,43.46,62.52,28.18,5.44,89.88,81.36,61.66,18.34,12.24,3.52,2.22,5.14,0.23,0.9,6.1,20.7,3.78,8.89,7.43,11.21,8.99,5.11,1.82,21.63,8.86,13.23,2.95,2.42,0.4,0.13,10.58,2.22,8.36,2.92,2.39,1.19,1.09,0.23,2.49,0.1,3.48,2.92,0.23,2.16,1.76,0.07,0.03,0,0,0,10.91,1.69,0.6,0.53,0,0.1,0.83,9.25,0.1,0,0.33,0.36,0.07,0,0,0.07,1.69,0.6,0,1.06,0.03,0,0.7,0.03,0.03,0,0,0,0,0.27,0,0.53,0.1,1.53,0.13,0,0,0,0.13,0.07,14.36,9.02,0.43,3.02,3.78,2.65,0.03,0,2.92,2.02,6.87,1.79,6.73,0,3.48,3.08,0.17,7.56,0,0.03,3.52,0,3.98,0.03
51107_MATH_parent_SS.docx,1,1756,17.31,94.99,50.34,71.2,24.73,3.47,90.32,81.09,55.81,19.7,13.61,4.04,1.77,7.18,0.11,0.46,6.09,24.43,2.79,13.5,4.78,8.6,4.9,2.05,1.31,19.65,10.31,16.8,2.96,2.45,0.28,0.23,8.37,2.56,5.81,2.39,1.14,1.2,0.51,0.4,0.97,0.34,3.59,3.42,0.17,1.48,1.37,0,0,0,0,0,12.02,1.99,0.57,0.4,0.11,0.11,0.91,9.97,0.4,0,0.51,0,0,0,0,0,2.16,1.03,0,1.14,0.06,0,0.23,0,0,0,0,0,0,0,0.17,0.4,0.06,1.31,0,0,0,0.06,0.06,0,15.26,11.39,0.68,5.75,4.67,1.31,0,0.28,1.65,1.77,5.01,1.2,11.5,2.28,8.2,2.96,0.23,7.23,0,0,3.99,0,3.25,0
51133_MATH_parent_CK.docx,1,1864,4.39,88.07,93.7,82.02,44.38,5.74,95.82,83.64,58.8,23.5,16.68,6.06,1.39,8.53,0.05,0.48,6.81,18.29,3.11,7.4,6.76,12.29,6.97,2.79,3.43,29.94,7.46,9.01,3.7,2.09,1.45,0.21,9.17,2.25,6.81,1.5,1.5,1.45,0.91,0.11,2.52,0.05,8.37,6.22,2.15,2.95,2.36,0.54,0,0.05,0.32,0,15.45,3.92,1.29,0.64,0.32,1.18,1.23,11.59,0.75,0,0.64,0,0,0,0,0,3.65,1.29,0,2.25,0.11,0,0.38,0,0,0,0,0,0,0.05,0.27,0.97,0.38,1.82,0.11,0,0,0.59,0.05,0,16.74,13.14,0.91,7.94,5.58,1.34,0.16,0.16,4.45,3.54,8.53,4.61,5.95,0.43,4.45,1.5,0,9.23,0,0,2.2,0,7.03,0
51132_MATH_parent_CK.docx,1,1165,3.1,87.12,53.68,71.43,27.09,6.09,93.22,85.58,63.61,24.21,17,6.7,1.63,7.98,0,0.52,7.21,20.86,2.15,11.33,5.58,11.42,7.98,3.61,1.72,25.49,9.61,15.19,2.15,1.72,0.43,0,11.42,1.03,10.39,3.18,1.46,3,1.29,0.86,2.58,0.26,4.29,3.78,0.52,0.52,0.43,0,0,0,0,0,12.7,2.23,0.6,0.52,0.09,0.6,0.86,10.56,0,0,0,0,0,0,0,0,1.63,1.2,0,0.43,0,0,0.26,0,0,0,0,0,0,0,0.09,0.43,0.94,1.72,0,0,0,0.09,0,0,11.76,9.87,0.43,3.69,2.66,3.18,0,0.43,2.83,3.95,7.21,1.55,6.09,0,4.55,1.29,0.26,8.58,0,0,3.61,0,4.98,0
51143_MATH_parent_SS.docx,1,3176,12.35,82,48.29,44.25,23.53,3.49,87.41,77.64,58.25,20.53,13.16,4.6,2.55,5.23,0,0.6,7.37,21,3.94,8.22,6.96,11.3,4.85,3.56,2.49,23.36,7.56,11.65,4.09,2.74,1.07,0.35,10.23,3.43,6.8,1.64,1.29,1.64,1.29,0.28,2.24,0.31,2.8,2.2,0.6,0.66,0.44,0.13,0.09,0,0,0,10.36,1.26,0.31,0.47,0.03,0.19,0.54,9.29,0.25,0,0.06,0.31,0.03,0,0,0.03,1.26,1.04,0.06,0.16,0,0,0.5,0,0,0,0,0,0,0.09,0.16,1.73,0.47,1.29,0.13,0,0,0.25,0.13,0,14.64,11.24,0.79,3.49,5.45,2.24,0.22,0.09,2.11,1.86,7.15,3.65,4.6,0.19,2.83,1.73,0,9.26,0,0.13,4.22,0,4.91,0
